delta_y,velocity,frame,velocity_rolling_mean,delta_velocity
-10,-11,392,4,0.0
-10,-10,393,0,-4.0
-11,-11,394,-3,-3.0
-10,-10,395,-7,-4.0
97,125,396,17,24.0
88,113,397,41,24.0
78,100,398,63,22.0
65,83,399,82,19.0
51,66,400,97,15.0
28,35,401,79,-18.0
0,11,402,59,-20.0
0,10,403,41,-18.0
0,10,404,26,-15.0
0,7,405,15,-11.0
0,6,406,9,-6.0
1,4,407,7,-2.0
-85,-92,408,-13,-20.0
-78,-84,409,-32,-19.0
-70,-76,410,-48,-16.0
-62,-67,411,-63,-15.0
-53,-57,412,-75,-12.0
-40,-43,413,-65,10.0
-22,-24,414,-53,12.0
9,15,415,-35,18.0
9,13,416,-19,16.0
9,16,417,-5,14.0
8,13,418,7,12.0
17,22,419,16,9.0
12,16,420,16,0.0
13,15,421,16,0.0
28,33,422,20,4.0
26,31,423,23,3.0
21,25,424,24,1.0
16,19,425,25,1.0
10,11,426,24,-1.0
22,24,427,22,-2.0
22,24,428,21,-1.0
32,34,429,22,1.0
29,31,430,25,3.0
29,31,431,29,4.0
38,40,432,32,3.0
20,24,433,32,0.0
19,21,434,29,-3.0
15,18,435,27,-2.0
12,13,436,23,-4.0
7,8,437,17,-6.0
3,7,438,13,-4.0
5,8,439,11,-2.0
5,9,440,9,-2.0
7,11,441,9,0.0
14,15,442,10,1.0
13,14,443,11,1.0
14,15,444,13,2.0
-48,-48,445,1,-12.0
-47,-47,446,-10,-11.0
-46,-46,447,-22,-12.0
-52,-52,448,-36,-14.0
-38,-38,449,-46,-10.0
-36,-36,450,-44,2.0
-28,-28,451,-40,4.0
-32,-32,452,-37,3.0
-27,-27,453,-32,5.0
-23,-23,454,-29,3.0
-18,-18,455,-26,3.0
-9,-9,456,-22,4.0
-13,-13,457,-18,4.0
-13,-13,458,-15,3.0
-13,-13,459,-13,2.0
-8,-8,460,-11,2.0
-9,-9,461,-11,0.0
-6,-6,462,-10,1.0
-6,-6,463,-8,2.0
-2,-2,464,-6,2.0
-2,-2,465,-5,1.0
-2,-2,466,-4,1.0
-2,-2,467,-3,1.0
0,3,468,-1,2.0
-1,-1,469,-1,0.0
1,2,470,0,1.0
2,2,471,1,1.0
3,3,472,2,1.0
2,2,473,2,0.0
5,6,474,3,1.0
