frame,near_player_position,far_player_position
135,"{1: [546, 627, 673, 852]}","{2: [904, 172, 990, 274]}"
136,"{1: [562, 627, 681, 857]}","{2: [895, 172, 973, 274]}"
137,"{1: [590, 629, 687, 860]}","{2: [884, 171, 954, 274]}"
138,"{1: [606, 632, 695, 862]}","{2: [873, 171, 940, 274]}"
139,"{1: [613, 634, 709, 862]}","{2: [865, 170, 934, 274]}"
140,"{1: [615, 635, 734, 864]}","{2: [853, 169, 932, 273]}"
141,"{1: [616, 635, 759, 865]}","{2: [846, 167, 929, 273]}"
142,"{1: [619, 635, 770, 866]}","{2: [839, 164, 925, 273]}"
143,"{1: [635, 632, 781, 871]}","{2: [836, 163, 915, 271]}"
144,"{1: [659, 631, 795, 872]}","{2: [828, 161, 901, 271]}"
145,"{1: [691, 628, 808, 871]}","{2: [817, 160, 885, 270]}"
146,"{1: [727, 627, 823, 871]}","{2: [812, 160, 875, 270]}"
147,"{1: [750, 627, 837, 874]}","{2: [807, 160, 868, 268]}"
148,"{1: [769, 629, 849, 878]}","{2: [793, 159, 861, 268]}"
149,"{1: [786, 634, 873, 886]}","{2: [778, 161, 852, 268]}"
150,"{1: [802, 639, 906, 893]}","{2: [767, 164, 842, 267]}"
151,"{1: [815, 646, 940, 898]}","{2: [758, 166, 832, 267]}"
152,"{1: [819, 653, 972, 901]}","{2: [751, 167, 825, 267]}"
153,"{1: [822, 659, 994, 906]}","{2: [747, 168, 821, 267]}"
154,"{1: [827, 664, 1007, 913]}","{2: [744, 167, 817, 267]}"
155,"{1: [840, 669, 1011, 917]}","{2: [742, 168, 813, 266]}"
156,"{1: [864, 672, 1012, 918]}","{2: [741, 168, 811, 266]}"
157,"{1: [896, 672, 1014, 918]}","{2: [741, 167, 809, 265]}"
158,"{1: [929, 671, 1025, 917]}","{2: [740, 166, 808, 264]}"
159,"{1: [949, 669, 1040, 915]}","{2: [740, 166, 810, 264]}"
160,"{1: [962, 669, 1056, 911]}","{2: [740, 165, 818, 264]}"
161,"{1: [975, 668, 1070, 909]}","{2: [740, 164, 823, 264]}"
162,"{1: [987, 670, 1086, 907]}","{2: [742, 164, 826, 264]}"
163,"{1: [998, 671, 1100, 904]}","{2: [747, 163, 827, 264]}"
164,"{1: [1008, 673, 1124, 904]}","{2: [755, 162, 828, 264]}"
165,"{1: [1018, 674, 1146, 903]}","{2: [764, 160, 830, 264]}"
166,"{1: [1027, 675, 1164, 903]}","{2: [774, 158, 832, 264]}"
167,"{1: [1031, 676, 1176, 905]}","{2: [779, 156, 835, 264]}"
168,"{1: [1033, 678, 1185, 906]}","{2: [783, 154, 837, 265]}"
169,"{1: [1035, 677, 1188, 906]}","{2: [787, 153, 840, 267]}"
170,"{1: [1041, 676, 1189, 905]}","{2: [795, 153, 843, 268]}"
171,"{1: [1051, 673, 1189, 905]}","{2: [806, 154, 847, 268]}"
172,"{1: [1067, 670, 1197, 905]}","{2: [814, 154, 850, 268]}"
