frame_number,near_player_original_box,near_player_reference_point,near_player_action,near_player_net_clearance,far_player_original_box,far_player_reference_point,far_player_action,far_player_net_clearance,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertical_velocity,ball_action
60,"[530, 623, 613, 847]","(124, 719)",0,0.0,"[1112, 188, 1170, 291]","(276, 89)",0,0.0,"[1166, 319, 1189, 341]","(275, 262)",0.48,10.81,2.4,4
61,"[547, 624, 621, 855]","(127, 724)",0,0.0,"[1119, 190, 1180, 292]","(279, 91)",0,0.0,"[1178, 308, 1195, 328]","(280, 252)",0.56,10.71,2.0,4
62,"[558, 629, 644, 862]","(131, 727)",0,0.0,"[1129, 192, 1189, 291]","(284, 89)",0,0.0,"[1184, 297, 1204, 318]","(284, 242)",0.62,10.61,1.61,4
63,"[566, 633, 665, 868]","(134, 730)",0,0.0,"[1139, 194, 1198, 290]","(287, 86)",0,0.0,"[1184, 292, 1202, 311]","(288, 232)",0.67,10.51,1.21,4
64,"[570, 638, 685, 878]","(137, 736)",0,0.0,"[1148, 197, 1206, 294]","(290, 95)",0,0.0,"[1184, 286, 1201, 306]","(292, 222)",0.71,10.41,0.82,4
65,"[572, 644, 697, 886]","(139, 740)",0,0.0,"[1156, 200, 1215, 294]","(294, 95)",0,0.0,"[1183, 281, 1201, 301]","(297, 212)",0.72,10.32,0.43,4
66,"[575, 650, 703, 895]","(140, 744)",0,0.0,"[1162, 201, 1224, 295]","(297, 98)",0,0.0,"[1183, 277, 1200, 296]","(301, 202)",0.72,10.23,0.04,4
67,"[580, 656, 707, 898]","(141, 746)",0,0.0,"[1164, 203, 1235, 296]","(299, 100)",0,0.0,"[1182, 272, 1200, 291]","(305, 193)",0.71,10.13,-0.36,4
68,"[587, 659, 708, 899]","(142, 746)",0,0.0,"[1169, 206, 1249, 300]","(302, 109)",0,0.0,"[1182, 267, 1200, 286]","(309, 183)",0.68,10.04,-0.75,4
69,"[592, 659, 708, 899]","(142, 746)",0,0.0,"[1174, 206, 1257, 302]","(304, 114)",0,0.0,"[1182, 262, 1199, 282]","(313, 174)",0.63,9.96,-1.14,4
70,"[593, 656, 708, 898]","(142, 746)",0,0.0,"[1182, 210, 1261, 302]","(307, 114)",0,0.0,"[1181, 258, 1199, 277]","(317, 164)",0.57,9.87,-1.53,4
71,"[593, 651, 708, 897]","(142, 745)",0,0.0,"[1188, 212, 1266, 301]","(309, 111)",0,0.0,"[1181, 253, 1198, 273]","(321, 155)",0.5,9.78,-1.92,4
72,"[594, 645, 708, 895]","(142, 744)",0,0.0,"[1196, 214, 1272, 302]","(312, 114)",0,0.0,"[1180, 249, 1198, 269]","(325, 146)",0.4,9.7,-2.31,4
73,"[594, 640, 709, 891]","(142, 742)",0,0.0,"[1201, 217, 1269, 303]","(312, 116)",0,0.0,"[1180, 245, 1197, 265]","(329, 137)",0.3,9.62,-2.7,4
74,"[595, 637, 718, 884]","(143, 739)",0,0.0,"[1208, 219, 1268, 303]","(313, 116)",1,2.15,"[1263, 270, 1283, 290]","(333, 134)",0.32,19.93,6.36,0
75,"[596, 637, 727, 881]","(143, 737)",0,0.0,"[1211, 220, 1269, 303]","(314, 116)",0,0.0,"[1179, 238, 1197, 257]","(326, 153)",0.56,19.59,5.93,4
76,"[595, 637, 738, 882]","(144, 738)",0,0.0,"[1203, 219, 1271, 303]","(313, 116)",0,0.0,"[1179, 234, 1196, 254]","(319, 171)",0.78,19.25,5.51,4
77,"[594, 640, 745, 882]","(145, 738)",0,0.0,"[1196, 218, 1273, 302]","(312, 114)",0,0.0,"[1181, 233, 1196, 251]","(313, 190)",0.98,18.93,5.09,4
78,"[593, 645, 748, 883]","(145, 738)",0,0.0,"[1211, 215, 1279, 302]","(316, 113)",0,0.0,"[1178, 211, 1196, 231]","(306, 208)",1.17,18.62,4.68,4
79,"[593, 651, 750, 884]","(145, 739)",0,0.0,"[1201, 208, 1284, 302]","(315, 114)",0,0.0,"[1182, 205, 1197, 222]","(300, 226)",1.34,18.32,4.26,4
80,"[592, 658, 750, 884]","(145, 739)",0,0.0,"[1198, 196, 1288, 302]","(316, 113)",0,0.0,"[1178, 261, 1203, 289]","(294, 244)",1.49,18.03,3.86,4
81,"[592, 662, 750, 884]","(145, 739)",0,0.0,"[1202, 192, 1291, 302]","(317, 113)",0,0.0,"[1166, 266, 1190, 291]","(288, 261)",1.63,17.75,3.45,4
82,"[592, 665, 751, 884]","(145, 739)",0,0.0,"[1204, 189, 1290, 302]","(317, 113)",0,0.0,"[1158, 272, 1173, 291]","(282, 278)",1.75,17.47,3.05,4
83,"[592, 665, 750, 885]","(146, 739)",0,0.0,"[1207, 188, 1289, 301]","(318, 111)",0,0.0,"[1137, 276, 1158, 298]","(276, 295)",1.86,17.21,2.65,4
84,"[590, 664, 749, 883]","(145, 738)",0,0.0,"[1198, 187, 1286, 301]","(315, 111)",0,0.0,"[1121, 282, 1141, 305]","(270, 312)",1.95,16.95,2.25,4
85,"[587, 664, 743, 883]","(144, 738)",0,0.0,"[1196, 187, 1285, 300]","(315, 109)",0,0.0,"[1106, 288, 1127, 310]","(264, 328)",2.02,16.7,1.85,4
86,"[585, 663, 728, 886]","(143, 740)",0,0.0,"[1193, 187, 1285, 300]","(314, 109)",0,0.0,"[1093, 291, 1119, 317]","(259, 344)",2.08,16.46,1.46,4
87,"[581, 664, 701, 889]","(140, 741)",0,0.0,"[1192, 187, 1284, 300]","(314, 109)",0,0.0,"[1084, 303, 1099, 319]","(253, 360)",2.12,16.22,1.06,4
88,"[575, 661, 671, 892]","(137, 743)",0,0.0,"[1191, 187, 1284, 300]","(314, 109)",0,0.0,"[1065, 307, 1090, 332]","(248, 375)",2.15,15.99,0.67,4
89,"[568, 661, 660, 894]","(135, 744)",0,0.0,"[1188, 186, 1284, 299]","(313, 107)",0,0.0,"[1051, 317, 1071, 339]","(242, 391)",2.16,15.77,0.28,4
90,"[554, 660, 654, 896]","(134, 745)",0,0.0,"[1186, 184, 1279, 297]","(312, 102)",0,0.0,"[1037, 330, 1054, 348]","(237, 406)",2.16,15.55,-0.11,4
91,"[541, 661, 649, 899]","(132, 746)",0,0.0,"[1182, 182, 1272, 298]","(310, 104)",0,0.0,"[1018, 337, 1045, 364]","(232, 421)",2.14,15.34,-0.5,4
92,"[535, 661, 644, 900]","(131, 747)",0,0.0,"[1176, 180, 1261, 297]","(307, 102)",0,0.0,"[1007, 354, 1025, 373]","(227, 436)",2.1,15.14,-0.9,4
93,"[533, 661, 641, 900]","(131, 747)",0,0.0,"[1172, 177, 1246, 295]","(303, 98)",0,0.0,"[992, 370, 1007, 386]","(222, 450)",2.05,14.94,-1.29,4
94,"[529, 662, 640, 900]","(130, 747)",0,0.0,"[1168, 175, 1236, 294]","(301, 95)",0,0.0,"[971, 390, 989, 410]","(217, 465)",1.98,14.74,-1.68,4
95,"[526, 662, 636, 900]","(130, 747)",0,0.0,"[1164, 173, 1229, 292]","(299, 91)",0,0.0,"[953, 411, 971, 432]","(212, 479)",1.9,14.56,-2.07,4
96,"[516, 661, 633, 901]","(128, 747)",0,0.0,"[1159, 171, 1222, 293]","(296, 93)",0,0.0,"[936, 432, 954, 452]","(207, 493)",1.8,14.37,-2.46,4
97,"[501, 659, 628, 901]","(126, 747)",0,0.0,"[1155, 171, 1212, 294]","(293, 95)",0,0.0,"[920, 451, 938, 471]","(202, 507)",1.69,14.19,-2.84,4
98,"[491, 657, 625, 901]","(125, 747)",0,0.0,"[1149, 171, 1203, 295]","(290, 98)",0,0.0,"[905, 468, 924, 488]","(197, 521)",1.56,14.02,-3.23,4
99,"[486, 654, 617, 900]","(124, 747)",0,0.0,"[1143, 173, 1197, 294]","(288, 96)",0,0.0,"[893, 480, 915, 505]","(192, 534)",1.41,13.84,-3.61,4
100,"[485, 652, 611, 896]","(123, 745)",0,0.0,"[1137, 173, 1189, 296]","(284, 100)",0,0.0,"[872, 504, 901, 532]","(188, 547)",1.26,13.68,-3.99,4
101,"[484, 651, 606, 891]","(122, 742)",0,0.0,"[1124, 173, 1185, 297]","(281, 103)",0,0.0,"[856, 533, 878, 556]","(183, 561)",1.08,13.51,-4.37,4
102,"[484, 650, 602, 885]","(121, 739)",0,0.0,"[1112, 172, 1184, 297]","(278, 103)",0,0.0,"[844, 565, 858, 581]","(178, 574)",0.89,13.35,-4.74,4
103,"[484, 650, 599, 882]","(121, 738)",0,0.0,"[1104, 172, 1183, 295]","(276, 98)",0,0.0,"[822, 594, 840, 613]","(174, 587)",0.69,13.2,-5.12,4
104,"[482, 651, 596, 881]","(120, 737)",0,0.0,"[1101, 173, 1178, 293]","(275, 93)",0,0.0,"[800, 628, 821, 650]","(170, 599)",0.47,13.05,-5.48,4
105,"[481, 653, 596, 880]","(120, 737)",0,0.0,"[1096, 173, 1168, 292]","(272, 91)",0,0.0,"[783, 655, 807, 680]","(165, 612)",0.23,12.9,-5.85,4
106,"[480, 656, 600, 880]","(121, 737)",0,0.0,"[1091, 173, 1153, 291]","(268, 89)",0,0.0,"[767, 693, 787, 714]","(161, 624)",-0.02,12.75,-6.21,4
107,"[480, 659, 604, 881]","(121, 737)",0,0.0,"[1087, 172, 1141, 291]","(265, 89)",0,0.0,"[753, 700, 780, 727]","(157, 637)",0.0,8.67,3.72,1
108,"[478, 661, 613, 881]","(122, 737)",0,0.0,"[1085, 171, 1132, 291]","(263, 89)",0,0.0,"[741, 694, 767, 723]","(154, 645)",0.13,8.6,3.32,4
109,"[473, 661, 623, 881]","(122, 737)",0,0.0,"[1081, 170, 1126, 291]","(261, 89)",0,0.0,"[731, 691, 758, 721]","(152, 654)",0.25,8.54,2.91,4
110,"[466, 661, 631, 881]","(122, 737)",0,0.0,"[1078, 169, 1120, 290]","(259, 87)",0,0.0,"[722, 693, 741, 714]","(150, 662)",0.35,8.48,2.51,4
111,"[460, 661, 636, 881]","(122, 737)",0,0.0,"[1074, 168, 1115, 288]","(257, 82)",0,0.0,"[709, 692, 734, 718]","(148, 670)",0.43,8.41,2.12,4
112,"[455, 659, 633, 881]","(121, 737)",0,0.0,"[1071, 168, 1110, 286]","(256, 77)",0,0.0,"[699, 694, 723, 719]","(145, 679)",0.5,8.35,1.72,4
113,"[453, 656, 621, 880]","(120, 737)",0,0.0,"[1068, 167, 1106, 285]","(255, 75)",0,0.0,"[686, 694, 715, 734]","(143, 687)",0.56,8.29,1.33,4
114,"[469, 652, 597, 879]","(119, 736)",0,0.0,"[1060, 165, 1101, 284]","(252, 72)",0,0.0,"[676, 699, 708, 733]","(141, 695)",0.59,8.23,0.93,4
