Frame,velocity,acceleration,x1,y1,x2,y2,xc,yc,deltaY
43,-53,2,754.2886701510433,451.1844253528745,775.9347667994059,474.2347602631108,765,462,-15
44,-49,4,801.8246528777886,436.89765458800565,823.4707495261512,459.94798949824195,812,448,-14
45,-45,3,846.075523110389,423.59821271481974,867.7216197587516,446.64854762505604,856,435,-13
46,-43,2,886.7764107186805,411.36570551014194,908.4225073670431,434.41604042037824,897,422,-13
47,-38,4,923.5854617860886,400.3028759543636,945.2315584344511,423.35321086459993,934,411,-11
48,-33,5,956.0370148617515,390.54967694255237,977.683111510114,413.60001185278867,966,402,-9
49,-29,3,983.4409164852218,382.3135316458809,1005.0870131335844,405.3638665561172,994,393,-9
50,-21,7,1004.6030154396025,375.95333797106707,1026.2491120879652,399.0036728813034,1015,387,-6
51,-12,9,1017.314208984375,374.9316101074219,1036.74755859375,394.1963195800781,1027,384,-3
52,28,40,1044.6206024897147,375.06061898250874,1066.2666991380775,398.11095389274504,1055,386,2
53,16,-11,1062.080078125,378.3708190917969,1080.472412109375,398.07232666015625,1071,388,2
54,-24,-40,1085.0610989242973,374.3719468619118,1106.70719557266,397.4222817721481,1095,385,-3
55,-21,3,1106.0746609436962,372.5961528884415,1127.720757592059,395.6464877986778,1116,384,-1
56,-17,3,1122.3019516758186,371.22483254488185,1143.9480483241814,394.27516745511815,1133,382,-2
57,9,26,1134.70361328125,374.1120300292969,1149.6505126953125,390.4644470214844,1142,382,0
58,-23,-32,1142.60888671875,349.8018493652344,1167.517333984375,375.19793701171875,1155,362,-20
59,-18,4,1154.8187255859375,334.3323059082031,1177.043701171875,358.1433410644531,1165,346,-16
60,-20,-1,1166.9461669921875,319.46514892578125,1189.0733642578125,341.3949279785156,1178,330,-16
61,-15,5,1178.2266845703125,308.70904541015625,1195.999267578125,328.4864501953125,1187,318,-12
62,-13,1,1184.0506591796875,297.1163024902344,1204.6915283203125,318.0593566894531,1194,307,-11
63,-7,5,1182.6853799968553,289.0844007183591,1204.3314766452181,312.1347356285954,1193,300,-7
64,-6,1,1182.2110654662408,282.91831182036964,1203.8571621146036,305.96864673060594,1193,294,-6
65,-6,0,1181.7546604398183,276.98504647687747,1203.400757088181,300.0353813871138,1192,288,-6
66,-6,0,1181.3168974172702,271.2941271837511,1202.962994065633,294.3444620939874,1192,282,-6
67,-5,0,1180.8986069455777,265.85635105175,1202.5447035939405,288.9066859619863,1191,277,-5
