single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
,,"(900, 300)",23,23,-2.0,154
"(913, 315)","(913, 315)","(913, 315)",19,19,-4.0,155
"(929, 339)","(929, 339)","(929, 339)",28,28,9.0,156
"(941, 358)","(941, 358)","(941, 358)",22,22,-6.0,157
,,"(961, 394)",41,41,19.0,158
,,"(980, 430)",40,40,-1.0,159
,,"(999, 463)",38,38,-2.0,160
,,"(1015, 492)",33,33,-5.0,161
"(1028, 516)","(1028, 516)","(1028, 516)",27,27,-6.0,162
"(1049, 561)","(1049, 561)","(1049, 561)",49,49,22.0,163
"(1068, 602)","(1068, 602)","(1068, 602)",45,45,-4.0,164
"(1090, 644)","(1090, 644)","(1090, 644)",47,47,2.0,165
"(1106, 645)","(1106, 645)","(1106, 645)",16,16,-31.0,166
"(1123, 650)","(1123, 650)","(1123, 650)",17,17,1.0,167
"(1141, 656)","(1141, 656)","(1141, 656)",18,18,1.0,168
"(1160, 665)","(1160, 665)","(1160, 665)",21,21,3.0,169
"(1179, 678)","(1179, 678)","(1179, 678)",23,23,2.0,170
"(1201, 691)","(1201, 691)","(1201, 691)",25,25,2.0,171
"(1222, 710)","(1222, 710)","(1222, 710)",28,28,3.0,172
"(1241, 730)","(1241, 730)","(1241, 730)",27,27,-1.0,173
"(1262, 752)","(1262, 752)","(1262, 752)",30,30,3.0,174
,,"(1222, 685)",-78,78,-108.0,175
,,"(1187, 625)",-69,69,9.0,176
"(1161, 579)","(1161, 579)","(1161, 579)",-52,52,17.0,177
"(1115, 512)","(1115, 512)","(1115, 512)",-81,81,-29.0,178
,,"(1084, 473)",-49,49,32.0,179
,,"(1055, 437)",-46,46,3.0,180
,,"(1030, 405)",-40,40,6.0,181
"(1011, 381)","(1011, 381)","(1011, 381)",-30,30,10.0,182
"(986, 358)","(986, 358)","(986, 358)",-33,33,-3.0,183
"(967, 343)","(967, 343)","(967, 343)",-24,24,9.0,184
"(950, 330)","(950, 330)","(950, 330)",-21,21,3.0,185
"(930, 319)","(930, 319)","(930, 319)",-22,22,-1.0,186
"(915, 311)","(915, 311)","(915, 311)",-17,17,5.0,187
"(901, 307)","(901, 307)","(901, 307)",-14,14,3.0,188
,,"(886, 306)",-15,15,-1.0,189
,,"(872, 306)",14,14,29.0,190
,,"(860, 305)",-12,12,-26.0,191
,,"(848, 305)",12,12,24.0,192
"(840, 306)","(840, 306)","(840, 306)",8,8,-4.0,193
"(828, 312)","(828, 312)","(828, 312)",13,13,5.0,194
"(819, 317)","(819, 317)","(819, 317)",10,10,-3.0,195
"(813, 313)","(813, 313)","(813, 313)",-7,7,-17.0,196
,,"(805, 293)",-21,21,-14.0,197
,,"(799, 275)",-18,18,3.0,198
"(794, 263)","(794, 263)","(794, 263)",-13,13,5.0,199
"(786, 249)","(786, 249)","(786, 249)",-16,16,-3.0,200
