frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
352,"{1: [737, 597, 762, 624]}","{1: [737, 597, 762, 624]}","{1: [737, 597, 762, 624]}","{1: [737.0, 597.0, 762.0, 624.0]}","(749, 610)",749,610,-21,4,21.38
353,"{1: [725, 610, 739, 627]}","{1: [725, 610, 739, 627]}","{1: [725, 610, 739, 627]}","{1: [725.0, 610.0, 739.0, 627.0]}","(732, 618)",732,618,-17,8,18.79
354,{},{},{},"{1: [699.0, 623.0, 714.0, 640.0]}","(706, 631)",706,631,-26,13,29.07
355,"{1: [679, 634, 695, 652]}","{1: [679, 634, 695, 652]}","{1: [679, 634, 695, 652]}","{1: [679.0, 634.0, 695.0, 652.0]}","(687, 643)",687,643,-19,12,22.47
356,"{1: [655, 644, 678, 669], 2: [651, 635, 685, 673]}","{1: [655, 644, 678, 669]}","{1: [655, 644, 678, 669]}","{1: [655.0, 644.0, 678.0, 669.0]}","(666, 656)",666,656,-21,13,24.7
357,"{1: [632, 654, 661, 685], 2: [634, 660, 656, 682]}","{1: [634, 660, 656, 682]}","{1: [634, 660, 656, 682]}","{1: [634.0, 660.0, 656.0, 682.0]}","(645, 671)",645,671,-21,15,25.81
358,"{1: [609, 677, 636, 703]}","{1: [609, 677, 636, 703]}","{1: [609, 677, 636, 703]}","{1: [609.0, 677.0, 636.0, 703.0]}","(622, 690)",622,690,-23,19,29.83
359,{},{},{},"{1: [586.0, 707.0, 607.0, 729.0]}","(596, 718)",596,718,-26,28,38.21
360,{},{},{},"{1: [562.0, 735.0, 583.0, 757.0]}","(572, 746)",572,746,-24,28,36.88
361,{},{},{},"{1: [540.0, 761.0, 561.0, 783.0]}","(550, 772)",550,772,-22,26,34.06
362,{},{},{},"{1: [520.0, 784.0, 541.0, 806.0]}","(530, 795)",530,795,-20,23,30.48
363,"{1: [508, 804, 523, 822]}","{1: [508, 804, 523, 822]}","{1: [508, 804, 523, 822]}","{1: [508.0, 804.0, 523.0, 822.0]}","(515, 813)",515,813,-15,18,23.43
364,{},{},{},"{1: [563.0, 737.0, 587.0, 763.0]}","(575, 750)",575,750,60,-63,87.0
365,"{1: [606, 692, 633, 720], 2: [606, 685, 638, 719]}","{1: [606, 685, 638, 719]}","{1: [606, 685, 638, 719]}","{1: [606.0, 685.0, 638.0, 719.0]}","(622, 702)",622,702,47,-48,67.18
366,"{1: [649, 649, 671, 674], 2: [646, 646, 676, 678]}","{1: [646, 646, 676, 678]}","{1: [646, 646, 676, 678]}","{1: [646.0, 646.0, 676.0, 678.0]}","(661, 662)",661,662,39,-40,55.87
367,"{1: [697, 602, 718, 626]}","{1: [697, 602, 718, 626]}","{1: [697, 602, 718, 626]}","{1: [697.0, 602.0, 718.0, 626.0]}","(707, 614)",707,614,46,-48,66.48
368,"{1: [723, 574, 747, 598]}","{1: [723, 574, 747, 598]}","{1: [723, 574, 747, 598]}","{1: [723.0, 574.0, 747.0, 598.0]}","(735, 586)",735,586,28,-28,39.6
369,"{1: [756, 538, 781, 565]}","{1: [756, 538, 781, 565]}","{1: [756, 538, 781, 565]}","{1: [756.0, 538.0, 781.0, 565.0]}","(768, 551)",768,551,33,-35,48.1
370,"{1: [788, 515, 806, 535]}","{1: [788, 515, 806, 535]}","{1: [788, 515, 806, 535]}","{1: [788.0, 515.0, 806.0, 535.0]}","(797, 525)",797,525,29,-26,38.95
371,"{1: [816, 490, 833, 509]}","{1: [816, 490, 833, 509]}","{1: [816, 490, 833, 509]}","{1: [816.0, 490.0, 833.0, 509.0]}","(824, 499)",824,499,27,-26,37.48
372,{},{},{},"{1: [834.0, 471.0, 856.0, 493.0]}","(845, 482)",845,482,21,-17,27.02
373,{},{},{},"{1: [856.0, 454.0, 878.0, 477.0]}","(867, 465)",867,465,22,-17,27.8
