frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
85,{},,,"(1106, 288, 1127, 310)","(1116, 299)",1116,299,-15,6,16.16
86,"{1: [1093, 291, 1119, 317]}","[1093, 291, 1119, 317]","[1093, 291, 1119, 317]","[1093, 291, 1119, 317]","(1106, 304)",1106,304,-10,5,11.18
87,"{1: [1084, 303, 1099, 319]}","[1084, 303, 1099, 319]","[1084, 303, 1099, 319]","[1084, 303, 1099, 319]","(1091, 311)",1091,311,-15,7,16.55
88,"{1: [1065, 307, 1090, 332], 2: [1064, 301, 1093, 334]}","[1065, 307, 1090, 332]","[1065, 307, 1090, 332]","[1065, 307, 1090, 332]","(1077, 319)",1077,319,-14,8,16.12
89,"{1: [1051, 317, 1071, 339]}","[1051, 317, 1071, 339]","[1051, 317, 1071, 339]","[1051, 317, 1071, 339]","(1061, 328)",1061,328,-16,9,18.36
90,"{1: [1037, 330, 1054, 348]}","[1037, 330, 1054, 348]","[1037, 330, 1054, 348]","[1037, 330, 1054, 348]","(1045, 339)",1045,339,-16,11,19.42
91,"{1: [1018, 337, 1045, 364]}","[1018, 337, 1045, 364]","[1018, 337, 1045, 364]","[1018, 337, 1045, 364]","(1031, 350)",1031,350,-14,11,17.8
92,"{1: [1007, 354, 1025, 373]}","[1007, 354, 1025, 373]","[1007, 354, 1025, 373]","[1007, 354, 1025, 373]","(1016, 363)",1016,363,-15,13,19.85
93,"{1: [992, 370, 1007, 386]}","[992, 370, 1007, 386]","[992, 370, 1007, 386]","[992, 370, 1007, 386]","(999, 378)",999,378,-17,15,22.67
94,{},,,"(971, 390, 989, 410)","(980, 400)",980,400,-19,22,29.07
95,{},,,"(953, 411, 971, 432)","(962, 421)",962,421,-18,21,27.66
96,{},,,"(936, 432, 954, 452)","(945, 442)",945,442,-17,21,27.02
97,{},,,"(920, 451, 938, 471)","(929, 461)",929,461,-16,19,24.84
98,{},,,"(905, 468, 924, 488)","(914, 478)",914,478,-15,17,22.67
99,"{1: [893, 480, 915, 505], 2: [888, 478, 916, 508]}","[893, 480, 915, 505]","[893, 480, 915, 505]","[893, 480, 915, 505]","(904, 492)",904,492,-10,14,17.2
100,"{1: [872, 504, 901, 532], 2: [874, 507, 895, 530]}","[872, 504, 901, 532]","[872, 504, 901, 532]","[872, 504, 901, 532]","(886, 518)",886,518,-18,26,31.62
101,"{1: [856, 533, 878, 556]}","[856, 533, 878, 556]","[856, 533, 878, 556]","[856, 533, 878, 556]","(867, 544)",867,544,-19,26,32.2
102,"{1: [844, 565, 858, 581]}","[844, 565, 858, 581]","[844, 565, 858, 581]","[844, 565, 858, 581]","(851, 573)",851,573,-16,29,33.12
103,"{1: [822, 594, 840, 613]}","[822, 594, 840, 613]","[822, 594, 840, 613]","[822, 594, 840, 613]","(831, 603)",831,603,-20,30,36.06
104,{},,,"(800, 628, 821, 650)","(810, 639)",810,639,-21,36,41.68
105,"{1: [783, 655, 807, 680]}","[783, 655, 807, 680]","[783, 655, 807, 680]","[783, 655, 807, 680]","(795, 667)",795,667,-15,28,31.76
106,"{1: [767, 693, 787, 714]}","[767, 693, 787, 714]","[767, 693, 787, 714]","[767, 693, 787, 714]","(777, 703)",777,703,-18,36,40.25
107,"{1: [753, 700, 780, 727], 2: [755, 702, 777, 724]}","[753, 700, 780, 727]","[753, 700, 780, 727]","[753, 700, 780, 727]","(766, 713)",766,713,-11,10,14.87
108,"{1: [741, 694, 767, 723]}","[741, 694, 767, 723]","[741, 694, 767, 723]","[741, 694, 767, 723]","(754, 708)",754,708,-12,-5,13.0
109,"{1: [731, 691, 758, 721]}","[731, 691, 758, 721]","[731, 691, 758, 721]","[731, 691, 758, 721]","(744, 706)",744,706,-10,-2,10.2
110,"{1: [722, 693, 741, 714]}","[722, 693, 741, 714]","[722, 693, 741, 714]","[722, 693, 741, 714]","(731, 703)",731,703,-13,-3,13.34
111,"{1: [709, 692, 734, 718]}","[709, 692, 734, 718]","[709, 692, 734, 718]","[709, 692, 734, 718]","(721, 705)",721,705,-10,2,10.2
112,"{1: [699, 694, 723, 719]}","[699, 694, 723, 719]","[699, 694, 723, 719]","[699, 694, 723, 719]","(711, 706)",711,706,-10,1,10.05
113,"{1: [688, 699, 711, 723], 2: [686, 694, 715, 734]}","[686, 694, 715, 734]","[686, 694, 715, 734]","[686, 694, 715, 734]","(700, 714)",700,714,-11,8,13.6
114,"{1: [681, 707, 700, 725], 2: [676, 699, 708, 733]}","[676, 699, 708, 733]","[676, 699, 708, 733]","[676, 699, 708, 733]","(692, 716)",692,716,-8,2,8.25
115,"{1: [669, 716, 688, 738]}","[669, 716, 688, 738]","[669, 716, 688, 738]","[669, 716, 688, 738]","(678, 727)",678,727,-14,11,17.8
116,"{1: [656, 722, 684, 749], 2: [658, 722, 680, 745]}","[656, 722, 684, 749]","[656, 722, 684, 749]","[656, 722, 684, 749]","(670, 735)",670,735,-8,8,11.31
117,"{1: [650, 739, 666, 756]}","[650, 739, 666, 756]","[650, 739, 666, 756]","[650, 739, 666, 756]","(658, 747)",658,747,-12,12,16.97
118,"{1: [661, 652, 688, 680]}","[661, 652, 688, 680]","[661, 652, 688, 680]","[661, 652, 688, 680]","(674, 666)",674,666,16,-81,82.57
119,"{1: [679, 593, 701, 617]}","[679, 593, 701, 617]","[679, 593, 701, 617]","[679, 593, 701, 617]","(690, 605)",690,605,16,-61,63.06
120,"{1: [697, 537, 715, 556]}","[697, 537, 715, 556]","[697, 537, 715, 556]","[697, 537, 715, 556]","(706, 546)",706,546,16,-59,61.13
121,"{1: [707, 484, 733, 510]}","[707, 484, 733, 510]","[707, 484, 733, 510]","[707, 484, 733, 510]","(720, 497)",720,497,14,-49,50.96
122,{},,,"(717, 448, 741, 473)","(729, 460)",729,460,9,-37,38.08
123,{},,,"(727, 415, 751, 440)","(739, 427)",739,427,10,-33,34.48
124,{},,,"(735, 385, 759, 410)","(747, 397)",747,397,8,-30,31.05
125,"{1: [743, 363, 765, 387]}","[743, 363, 765, 387]","[743, 363, 765, 387]","[743, 363, 765, 387]","(754, 375)",754,375,7,-22,23.09
126,"{1: [752, 345, 767, 363]}","[752, 345, 767, 363]","[752, 345, 767, 363]","[752, 345, 767, 363]","(759, 354)",759,354,5,-21,21.59
127,"{1: [753, 330, 776, 354], 2: [750, 322, 781, 357]}","[753, 330, 776, 354]","[753, 330, 776, 354]","[753, 330, 776, 354]","(764, 342)",764,342,5,-12,13.0
128,"{1: [759, 318, 781, 340]}","[759, 318, 781, 340]","[759, 318, 781, 340]","[759, 318, 781, 340]","(770, 329)",770,329,6,-13,14.32
129,"{1: [759, 308, 783, 333]}","[759, 308, 783, 333]","[759, 308, 783, 333]","[759, 308, 783, 333]","(771, 320)",771,320,1,-9,9.06
130,"{1: [765, 307, 784, 327]}","[765, 307, 784, 327]","[765, 307, 784, 327]","[765, 307, 784, 327]","(774, 317)",774,317,3,-3,4.24
131,"{1: [770, 306, 785, 323]}","[770, 306, 785, 323]","[770, 306, 785, 323]","[770, 306, 785, 323]","(777, 314)",777,314,3,-3,4.24
132,"{1: [772, 305, 786, 321]}","[772, 305, 786, 321]","[772, 305, 786, 321]","[772, 305, 786, 321]","(779, 313)",779,313,2,-1,2.24
133,"{1: [773, 305, 787, 320]}","[773, 305, 787, 320]","[773, 305, 787, 320]","[773, 305, 787, 320]","(780, 312)",780,312,1,-1,1.41
134,"{1: [772, 305, 788, 322]}","[772, 305, 788, 322]","[772, 305, 788, 322]","[772, 305, 788, 322]","(780, 313)",780,313,0,1,1.0
135,"{1: [774, 307, 791, 325]}","[774, 307, 791, 325]","[774, 307, 791, 325]","[774, 307, 791, 325]","(782, 316)",782,316,2,3,3.61
136,"{1: [773, 309, 796, 333]}","[773, 309, 796, 333]","[773, 309, 796, 333]","[773, 309, 796, 333]","(784, 321)",784,321,2,5,5.39
137,"{1: [775, 306, 794, 326]}","[775, 306, 794, 326]","[775, 306, 794, 326]","[775, 306, 794, 326]","(784, 316)",784,316,0,-5,5.0
138,{},,,"(773, 280, 796, 305)","(784, 292)",784,292,0,-24,24.0
139,"{1: [773, 261, 800, 290]}","[773, 261, 800, 290]","[773, 261, 800, 290]","[773, 261, 800, 290]","(786, 275)",786,275,2,-17,17.12
140,"{1: [778, 251, 798, 270], 2: [774, 244, 804, 276]}","[778, 251, 798, 270]","[778, 251, 798, 270]","[778, 251, 798, 270]","(788, 260)",788,260,2,-15,15.13
141,"{1: [776, 235, 799, 260], 2: [774, 227, 805, 263]}","[774, 227, 805, 263]","[774, 227, 805, 263]","[774, 227, 805, 263]","(789, 245)",789,245,1,-15,15.03
142,"{1: [778, 221, 805, 247]}","[778, 221, 805, 247]","[778, 221, 805, 247]","[778, 221, 805, 247]","(791, 234)",791,234,2,-11,11.18
143,"{1: [777, 209, 803, 235]}","[777, 209, 803, 235]","[777, 209, 803, 235]","[777, 209, 803, 235]","(790, 222)",790,222,-1,-12,12.04
144,"{1: [778, 201, 806, 229]}","[778, 201, 806, 229]","[778, 201, 806, 229]","[778, 201, 806, 229]","(792, 215)",792,215,2,-7,7.28
145,{},,,"(789, 206, 814, 231)","(801, 218)",801,218,9,3,9.49
146,{},,,"(798, 210, 824, 235)","(811, 222)",811,222,10,4,10.77
147,{},,,"(808, 214, 833, 239)","(820, 226)",820,226,9,4,9.85
148,{},,,"(816, 218, 842, 243)","(829, 230)",829,230,9,4,9.85
149,{},,,"(824, 221, 849, 246)","(836, 233)",836,233,7,3,7.62
150,"{1: [832, 226, 855, 248]}","[832, 226, 855, 248]","[832, 226, 855, 248]","[832, 226, 855, 248]","(843, 237)",843,237,7,4,8.06
151,"{1: [846, 237, 866, 260]}","[846, 237, 866, 260]","[846, 237, 866, 260]","[846, 237, 866, 260]","(856, 248)",856,248,13,11,17.03
152,"{1: [860, 253, 879, 272]}","[860, 253, 879, 272]","[860, 253, 879, 272]","[860, 253, 879, 272]","(869, 262)",869,262,13,14,19.1
153,{},,,"(874, 270, 897, 294)","(885, 282)",885,282,16,20,25.61
154,{},,,"(889, 289, 912, 312)","(900, 300)",900,300,15,18,23.43
155,"{1: [900, 301, 926, 329]}","[900, 301, 926, 329]","[900, 301, 926, 329]","[900, 301, 926, 329]","(913, 315)",913,315,13,15,19.85
156,"{1: [920, 330, 938, 348]}","[920, 330, 938, 348]","[920, 330, 938, 348]","[920, 330, 938, 348]","(929, 339)",929,339,16,24,28.84
157,"{1: [930, 348, 952, 368]}","[930, 348, 952, 368]","[930, 348, 952, 368]","[930, 348, 952, 368]","(941, 358)",941,358,12,19,22.47
158,{},,,"(949, 383, 973, 406)","(961, 394)",961,394,20,36,41.18
159,{},,,"(968, 418, 992, 442)","(980, 430)",980,430,19,36,40.71
160,{},,,"(987, 451, 1011, 475)","(999, 463)",999,463,19,33,38.08
161,{},,,"(1003, 481, 1027, 504)","(1015, 492)",1015,492,16,29,33.12
162,"{1: [1018, 506, 1045, 531], 2: [1015, 503, 1041, 530]}","[1015, 503, 1041, 530]","[1015, 503, 1041, 530]","[1015, 503, 1041, 530]","(1028, 516)",1028,516,13,24,27.29
163,"{1: [1038, 549, 1061, 573]}","[1038, 549, 1061, 573]","[1038, 549, 1061, 573]","[1038, 549, 1061, 573]","(1049, 561)",1049,561,21,45,49.66
164,"{1: [1060, 594, 1076, 611], 2: [1106, 683, 1123, 701]}","[1060, 594, 1076, 611]","[1060, 594, 1076, 611]","[1060, 594, 1076, 611]","(1068, 602)",1068,602,19,41,45.19
165,"{1: [1083, 636, 1098, 652]}","[1083, 636, 1098, 652]","[1083, 636, 1098, 652]","[1083, 636, 1098, 652]","(1090, 644)",1090,644,22,42,47.41
166,"{1: [1096, 634, 1117, 657]}","[1096, 634, 1117, 657]","[1096, 634, 1117, 657]","[1096, 634, 1117, 657]","(1106, 645)",1106,645,16,1,16.03
167,"{1: [1113, 640, 1133, 660], 2: [1107, 629, 1141, 667]}","[1113, 640, 1133, 660]","[1113, 640, 1133, 660]","[1113, 640, 1133, 660]","(1123, 650)",1123,650,17,5,17.72
168,"{1: [1131, 645, 1151, 667]}","[1131, 645, 1151, 667]","[1131, 645, 1151, 667]","[1131, 645, 1151, 667]","(1141, 656)",1141,656,18,6,18.97
169,"{1: [1153, 657, 1168, 674]}","[1153, 657, 1168, 674]","[1153, 657, 1168, 674]","[1153, 657, 1168, 674]","(1160, 665)",1160,665,19,9,21.02
170,"{1: [1167, 666, 1191, 691]}","[1167, 666, 1191, 691]","[1167, 666, 1191, 691]","[1167, 666, 1191, 691]","(1179, 678)",1179,678,19,13,23.02
171,"{1: [1190, 680, 1212, 702]}","[1190, 680, 1212, 702]","[1190, 680, 1212, 702]","[1190, 680, 1212, 702]","(1201, 691)",1201,691,22,13,25.55
172,"{1: [1206, 694, 1232, 721], 2: [1208, 697, 1237, 724]}","[1208, 697, 1237, 724]","[1208, 697, 1237, 724]","[1208, 697, 1237, 724]","(1222, 710)",1222,710,21,19,28.32
