frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
112,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.75,142.56,1,75.31,75.31,1,2.15,2.15,0.2,17.89
113,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.79,142.56,1,75.31,75.31,1,2.15,2.15,0.09,17.98
114,0.0,1,102.54,102.54,1,0.95,0.95,0.06,6.85,142.56,1,75.31,75.31,1,2.15,2.15,0.17,18.15
115,0.0,1,102.54,102.54,1,0.95,0.95,0.09,6.94,142.56,1,75.31,75.31,1,2.15,2.15,0.12,18.27
116,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.98,142.56,1,75.31,75.31,1,2.15,2.15,0.21,18.48
117,0.0,2,133.55,236.09,1,0.95,0.95,0.04,7.02,142.56,1,75.31,75.31,1,2.15,2.15,0.19,18.67
118,0.0,2,133.55,236.09,1,0.95,0.95,0.12,7.14,142.56,1,75.31,75.31,1,2.15,2.15,0.17,18.84
119,0.0,2,133.55,236.09,1,0.95,0.95,0.06,7.2,142.56,1,75.31,75.31,1,2.15,2.15,0.11,18.95
120,0.0,2,133.55,236.09,1,0.95,0.95,0.09,7.29,142.56,1,75.31,75.31,1,2.15,2.15,0.21,19.16
121,0.0,2,133.55,236.09,1,0.95,0.95,0.06,7.35,142.56,1,75.31,75.31,1,2.15,2.15,0.2,19.36
122,0.0,2,133.55,236.09,1,0.95,0.95,0.09,7.44,142.56,1,75.31,75.31,1,2.15,2.15,0.08,19.44
123,0.0,2,133.55,236.09,1,0.95,0.95,0.09,7.53,142.56,1,75.31,75.31,1,2.15,2.15,0.12,19.56
124,0.0,2,133.55,236.09,1,0.95,0.95,0.08,7.61,142.56,1,75.31,75.31,1,2.15,2.15,0.0,19.56
