Frame,Raw X,Raw Y,Interpolated X,Interpolated Y,Bounce,Hit
560,722,328,722,328,,
561,708,352,708,352,,
562,,,682,395,,
563,,,660,433,,
564,,,641,466,,
565,,,626,491,,
566,619,505,619,505,,
567,603,540,603,540,,
568,579,589,579,589,,
569,,,550,648,,
570,535,681,535,681,,
571,520,696,520,696,,
572,773,908,773,908,,
573,,,571,780,,
574,462,710,462,710,,
575,444,719,444,719,,
576,424,731,424,731,,
577,403,746,403,746,,
578,383,763,383,763,,
579,359,786,359,786,,
580,335,808,335,808,,
581,,,304,848,,
582,288,870,288,870,,
583,,,246,934,,
584,,,213,983,,
585,196,1011,196,1011,,
586,172,1046,172,1046,,
587,,,172,1046,,
588,,,172,1046,,
589,,,172,1046,,
590,,,172,1046,,
