multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
{},{},{},"{1: [775.0, 442.0, 800.0, 467.0]}",44,"(787, 454)",787,454,41,-13,43.01,-43.01,481.0,-17.0,0.67,48.0,6.71
{},{},{},"{1: [816.0, 430.0, 840.0, 455.0]}",45,"(828, 442)",828,442,41,-12,42.72,-42.72,467.0,-14.0,0.29,44.7,3.35
{},{},{},"{1: [854.0, 418.0, 879.0, 444.0]}",46,"(866, 431)",866,431,38,-11,39.56,-39.56,454.6,-12.4,3.16,42.8,1.86
{},{},{},"{1: [892.0, 407.0, 916.0, 433.0]}",47,"(904, 420)",904,420,38,-11,39.56,-39.56,442.8,-11.8,0.0,41.7,1.13
{},{},{},"{1: [927.0, 396.0, 952.0, 422.0]}",48,"(939, 409)",939,409,35,-11,36.69,-36.69,431.2,-11.6,2.87,40.3,1.4
{},{},{},"{1: [960.0, 387.0, 985.0, 412.0]}",49,"(972, 399)",972,399,33,-10,34.48,-34.48,420.2,-11.0,2.21,38.6,1.71
{},{},{},"{1: [990.0, 378.0, 1015.0, 403.0]}",50,"(1002, 390)",1002,390,30,-9,31.32,-31.32,409.8,-10.4,3.16,36.3,2.28
"{1: [1017, 374, 1036, 394]}","{1: [1017, 374, 1036, 394]}","{1: [1017, 374, 1036, 394]}","{1: [1017.0, 374.0, 1036.0, 394.0]}",51,"(1026, 384)",1026,384,24,-6,24.74,-24.74,400.4,-9.4,6.58,33.4,2.96
{},{},{},"{1: [1042.0, 376.0, 1060.0, 396.0]}",52,"(1051, 386)",1051,386,25,2,25.08,25.08,393.6,-6.8,49.82,30.5,12.93
"{1: [1062, 378, 1080, 398]}","{1: [1062, 378, 1080, 398]}","{1: [1062, 378, 1080, 398]}","{1: [1062.0, 378.0, 1080.0, 398.0]}",53,"(1071, 388)",1071,388,20,2,20.1,20.1,389.4,-4.2,-4.98,27.1,11.36
{},{},{},"{1: [1083.0, 377.0, 1099.0, 395.0]}",54,"(1091, 386)",1091,386,20,-2,20.1,-20.1,386.8,-2.6,-40.2,24.3,2.88
{},{},{},"{1: [1102.0, 375.0, 1118.0, 393.0]}",55,"(1110, 384)",1110,384,19,-2,19.1,-19.1,385.6,-1.2,1.0,21.8,2.44
{},{},{},"{1: [1119.0, 374.0, 1135.0, 392.0]}",56,"(1127, 383)",1127,383,17,-1,17.03,-17.03,385.4,-0.2,2.07,20.3,1.54
"{1: [1134, 374, 1149, 390]}","{1: [1134, 374, 1149, 390]}","{1: [1134, 374, 1149, 390]}","{1: [1134.0, 374.0, 1149.0, 390.0]}",57,"(1141, 382)",1141,382,14,-1,14.04,-14.04,384.6,-0.8,2.99,18.1,-7.82
"{1: [1142, 349, 1167, 375]}","{1: [1142, 349, 1167, 375]}","{1: [1142, 349, 1167, 375]}","{1: [1142.0, 349.0, 1167.0, 375.0]}",58,"(1154, 362)",1154,362,13,-20,23.85,-23.85,379.4,-5.2,-9.81,18.8,-8.79
"{1: [1154, 334, 1177, 358]}","{1: [1154, 334, 1177, 358]}","{1: [1154, 334, 1177, 358]}","{1: [1154.0, 334.0, 1177.0, 358.0]}",59,"(1165, 346)",1165,346,11,-16,19.42,-19.42,371.4,-8.0,4.43,18.7,0.14
"{1: [1166, 319, 1189, 341]}","{1: [1166, 319, 1189, 341]}","{1: [1166, 319, 1189, 341]}","{1: [1166.0, 319.0, 1189.0, 341.0]}",60,"(1177, 330)",1177,330,12,-16,20.0,-20.0,360.6,-10.8,-0.58,18.9,-0.18
"{1: [1178, 308, 1195, 328]}","{1: [1178, 308, 1195, 328]}","{1: [1178, 308, 1195, 328]}","{1: [1178.0, 308.0, 1195.0, 328.0]}",61,"(1186, 318)",1186,318,9,-12,15.0,-15.0,347.6,-13.0,5.0,18.5,0.41
"{1: [1184, 297, 1204, 318]}","{1: [1184, 297, 1204, 318]}","{1: [1184, 297, 1204, 318]}","{1: [1184.0, 297.0, 1204.0, 318.0]}",62,"(1194, 307)",1194,307,8,-11,13.6,-13.6,332.6,-15.0,1.4,18.4,0.09
{},{},{},"{1: [1184.0, 292.0, 1202.0, 311.0]}",63,"(1193, 301)",1193,301,-1,-6,6.08,-6.08,320.4,-12.2,7.52,14.8,3.55
{},{},{},"{1: [1184.0, 286.0, 1201.0, 306.0]}",64,"(1192, 296)",1192,296,-1,-5,5.1,-5.1,310.4,-10.0,0.98,12.0,2.86
{},{},{},"{1: [1183.0, 281.0, 1201.0, 301.0]}",65,"(1192, 291)",1192,291,0,-5,5.0,-5.0,302.6,-7.8,0.1,9.0,3.0
{},{},{},"{1: [1183.0, 277.0, 1200.0, 296.0]}",66,"(1191, 286)",1191,286,-1,-5,5.1,-5.1,296.2,-6.4,-0.1,7.0,1.98
{},{},{},"{1: [1182.0, 272.0, 1200.0, 291.0]}",67,"(1191, 281)",1191,281,0,-5,5.0,-5.0,291.0,-5.2,0.1,5.3,1.72
{},{},{},"{1: [1182.0, 267.0, 1200.0, 286.0]}",68,"(1191, 276)",1191,276,0,-5,5.0,-5.0,286.0,-5.0,0.0,5.0,0.22
{},{},{},"{1: [1182.0, 262.0, 1199.0, 282.0]}",69,"(1190, 272)",1190,272,-1,-4,4.12,-4.12,281.2,-4.8,0.88,4.8,0.2
{},{},{},"{1: [1181.0, 258.0, 1199.0, 277.0]}",70,"(1190, 267)",1190,267,0,-5,5.0,-5.0,276.4,-4.8,-0.88,4.8,0.0
{},{},{},"{1: [1181.0, 253.0, 1198.0, 273.0]}",71,"(1189, 263)",1189,263,-1,-4,4.12,-4.12,271.8,-4.6,0.88,4.6,0.2
{},{},{},"{1: [1180.0, 249.0, 1198.0, 269.0]}",72,"(1189, 259)",1189,259,0,-4,4.0,-4.0,267.4,-4.4,0.12,4.4,0.2
{},{},{},"{1: [1180.0, 245.0, 1197.0, 265.0]}",73,"(1188, 255)",1188,255,-1,-4,4.12,-4.12,263.2,-4.2,-0.12,4.3,0.18
{},{},{},"{1: [1180.0, 241.0, 1197.0, 261.0]}",74,"(1188, 251)",1188,251,0,-4,4.0,-4.0,259.0,-4.2,0.12,4.2,0.02
{},{},{},"{1: [1179.0, 238.0, 1197.0, 257.0]}",75,"(1188, 247)",1188,247,0,-4,4.0,-4.0,255.0,-4.0,0.0,4.0,0.2
{},{},{},"{1: [1179.0, 234.0, 1196.0, 254.0]}",76,"(1187, 244)",1187,244,-1,-3,3.16,-3.16,251.2,-3.8,0.84,3.9,0.19
"{1: [1181, 233, 1196, 251]}","{1: [1181, 233, 1196, 251]}","{1: [1181, 233, 1196, 251]}","{1: [1181.0, 233.0, 1196.0, 251.0]}",77,"(1188, 242)",1188,242,1,-2,2.24,-2.24,247.8,-3.4,0.92,3.5,0.35
"{1: [1178, 211, 1196, 231]}","{1: [1178, 211, 1196, 231]}","{1: [1178, 211, 1196, 231]}","{1: [1178.0, 211.0, 1196.0, 231.0]}",78,"(1187, 221)",1187,221,-1,-21,21.02,-21.02,241.0,-6.8,-18.78,6.9,-3.38
"{1: [1182, 205, 1197, 222]}","{1: [1182, 205, 1197, 222]}","{1: [1182, 205, 1197, 222]}","{1: [1182.0, 205.0, 1197.0, 222.0]}",79,"(1189, 213)",1189,213,2,-8,8.25,-8.25,233.4,-7.6,12.77,7.7,-0.85
