multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [924, 339, 949, 363]}","{1: [924, 339, 949, 363]}","{1: [924, 339, 949, 363]}","{1: [924.0, 339.0, 949.0, 363.0]}",245,"(936, 351)",936,351,-14,-17,22.02,-22.02,394.2,-24.4,7.19,31.2,3.44
"{1: [909, 329, 928, 348]}","{1: [909, 329, 928, 348]}","{1: [909, 329, 928, 348]}","{1: [909.0, 329.0, 928.0, 348.0]}",246,"(918, 338)",918,338,-18,-13,22.2,-22.2,373.0,-21.2,-0.18,28.2,2.96
"{1: [898, 318, 917, 338], 2: [893, 314, 924, 345]}","{1: [893, 314, 924, 345]}","{1: [893, 314, 924, 345]}","{1: [893.0, 314.0, 924.0, 345.0]}",247,"(908, 329)",908,329,-10,-9,13.45,-13.45,355.4,-17.6,8.75,23.9,4.28
"{1: [881, 309, 904, 335]}","{1: [881, 309, 904, 335]}","{1: [881, 309, 904, 335]}","{1: [881.0, 309.0, 904.0, 335.0]}",248,"(892, 322)",892,322,-16,-7,17.46,-17.46,341.6,-13.8,-4.01,20.9,3.07
"{1: [871, 307, 891, 328]}","{1: [871, 307, 891, 328]}","{1: [871, 307, 891, 328]}","{1: [871.0, 307.0, 891.0, 328.0]}",249,"(881, 317)",881,317,-11,-5,12.08,-12.08,331.4,-10.2,5.38,17.4,3.43
"{1: [860, 306, 880, 326]}","{1: [860, 306, 880, 326]}","{1: [860, 306, 880, 326]}","{1: [860.0, 306.0, 880.0, 326.0]}",250,"(870, 316)",870,316,-11,-1,11.05,-11.05,324.4,-7.0,1.03,15.2,2.19
"{1: [849, 304, 869, 324], 2: [844, 294, 877, 331]}","{1: [849, 304, 869, 324]}","{1: [849, 304, 869, 324]}","{1: [849.0, 304.0, 869.0, 324.0]}",251,"(859, 314)",859,314,-11,-2,11.18,-11.18,319.6,-4.8,-0.13,13.0,2.2
"{1: [842, 307, 857, 324]}","{1: [842, 307, 857, 324]}","{1: [842, 307, 857, 324]}","{1: [842.0, 307.0, 857.0, 324.0]}",252,"(849, 315)",849,315,-10,1,10.05,10.05,316.8,-2.8,21.23,12.4,4.7
"{1: [830, 303, 854, 329]}","{1: [830, 303, 854, 329]}","{1: [830, 303, 854, 329]}","{1: [830.0, 303.0, 854.0, 329.0]}",253,"(842, 316)",842,316,-7,1,7.07,7.07,315.6,-1.2,-2.98,10.3,4.91
"{1: [823, 308, 843, 329]}","{1: [823, 308, 843, 329]}","{1: [823, 308, 843, 329]}","{1: [823.0, 308.0, 843.0, 329.0]}",254,"(833, 318)",833,318,-9,2,9.22,9.22,315.8,0.2,2.15,9.7,4.26
"{1: [814, 309, 836, 332]}","{1: [814, 309, 836, 332]}","{1: [814, 309, 836, 332]}","{1: [814.0, 309.0, 836.0, 332.0]}",255,"(825, 320)",825,320,-8,2,8.25,8.25,316.6,0.8,-0.97,9.2,3.86
"{1: [805, 305, 830, 332]}","{1: [805, 305, 830, 332]}","{1: [805, 305, 830, 332]}","{1: [805.0, 305.0, 830.0, 332.0]}",256,"(817, 318)",817,318,-8,-2,8.25,-8.25,317.4,0.8,-16.5,8.6,0.59
{},{},{},"{1: [798.0, 286.0, 822.0, 312.0]}",257,"(810, 299)",810,299,-7,-19,20.25,-20.25,314.2,-3.2,-12.0,10.6,-6.06
{},{},{},"{1: [792.0, 268.0, 816.0, 294.0]}",258,"(804, 281)",804,281,-6,-18,18.97,-18.97,307.2,-7.0,1.28,13.0,-5.21
{},{},{},"{1: [786.0, 253.0, 811.0, 279.0]}",259,"(798, 266)",798,266,-6,-15,16.16,-16.16,296.8,-10.4,2.81,14.4,-5.08
"{1: [783, 242, 807, 267]}","{1: [783, 242, 807, 267]}","{1: [783, 242, 807, 267]}","{1: [783.0, 242.0, 807.0, 267.0]}",260,"(795, 254)",795,254,-3,-12,12.37,-12.37,283.6,-13.2,3.79,15.2,-4.12
"{1: [780, 227, 805, 255]}","{1: [780, 227, 805, 255]}","{1: [780, 227, 805, 255]}","{1: [780.0, 227.0, 805.0, 255.0]}",261,"(792, 241)",792,241,-3,-13,13.34,-13.34,268.2,-15.4,-0.97,16.2,-1.02
"{1: [777, 224, 796, 243]}","{1: [777, 224, 796, 243]}","{1: [777, 224, 796, 243]}","{1: [777.0, 224.0, 796.0, 243.0]}",262,"(786, 233)",786,233,-6,-8,10.0,-10.0,255.0,-13.2,3.34,14.2,2.05
"{1: [772, 212, 792, 234]}","{1: [772, 212, 792, 234]}","{1: [772, 212, 792, 234]}","{1: [772.0, 212.0, 792.0, 234.0]}",263,"(782, 223)",782,223,-4,-10,10.77,-10.77,243.4,-11.6,-0.77,12.5,1.64
"{1: [774, 211, 791, 230]}","{1: [774, 211, 791, 230]}","{1: [774, 211, 791, 230]}","{1: [774.0, 211.0, 791.0, 230.0]}",264,"(782, 220)",782,220,0,-3,3.0,-3.0,234.2,-9.2,7.77,9.9,2.63
{},{},{},"{1: [784.0, 224.0, 800.0, 241.0]}",265,"(792, 232)",792,232,10,12,15.62,15.62,229.8,-4.4,18.62,10.5,5.6
{},{},{},"{1: [795.0, 237.0, 810.0, 254.0]}",266,"(802, 245)",802,245,10,13,16.4,16.4,230.6,0.8,0.78,11.2,5.95
{},{},{},"{1: [805.0, 249.0, 820.0, 266.0]}",267,"(812, 257)",812,257,10,12,15.62,15.62,235.4,4.8,-0.78,12.3,5.12
{},{},{},"{1: [814.0, 261.0, 830.0, 278.0]}",268,"(822, 269)",822,269,10,12,15.62,15.62,244.6,9.2,0.0,13.3,5.28
{},{},{},"{1: [824.0, 272.0, 839.0, 289.0]}",269,"(831, 280)",831,280,9,11,14.21,14.21,256.6,12.0,-1.41,15.5,3.44
{},{},{},"{1: [832.0, 282.0, 848.0, 299.0]}",270,"(840, 290)",840,290,9,10,13.45,13.45,268.2,11.6,-0.76,15.1,-0.43
{},{},{},"{1: [840.0, 292.0, 855.0, 309.0]}",271,"(847, 300)",847,300,7,10,12.21,12.21,279.2,11.0,-1.24,14.2,-0.84
"{1: [847, 301, 861, 316]}","{1: [847, 301, 861, 316]}","{1: [847, 301, 861, 316]}","{1: [847.0, 301.0, 861.0, 316.0]}",272,"(854, 308)",854,308,7,8,10.63,10.63,289.4,10.2,-1.58,13.2,-1.0
"{1: [854, 315, 877, 339]}","{1: [854, 315, 877, 339]}","{1: [854, 315, 877, 339]}","{1: [854.0, 315.0, 877.0, 339.0]}",273,"(865, 327)",865,327,11,19,21.95,21.95,301.0,11.6,11.32,14.5,1.27
"{1: [860, 334, 887, 364]}","{1: [860, 334, 887, 364]}","{1: [860, 334, 887, 364]}","{1: [860.0, 334.0, 887.0, 364.0]}",274,"(873, 349)",873,349,8,22,23.41,23.41,314.8,13.8,1.46,16.3,1.84
"{1: [871, 358, 897, 385]}","{1: [871, 358, 897, 385]}","{1: [871, 358, 897, 385]}","{1: [871.0, 358.0, 897.0, 385.0]}",275,"(884, 371)",884,371,11,22,24.6,24.6,331.0,16.2,1.19,18.6,2.23
{},{},{},"{1: [885.0, 395.0, 908.0, 419.0]}",276,"(896, 407)",896,407,12,36,37.95,37.95,352.4,21.4,13.35,23.7,5.15
{},{},{},"{1: [898.0, 429.0, 921.0, 453.0]}",277,"(909, 441)",909,441,13,34,36.4,36.4,379.0,26.6,-1.55,28.9,5.15
{},{},{},"{1: [909.0, 459.0, 932.0, 483.0]}",278,"(920, 471)",920,471,11,30,31.95,31.95,407.8,28.8,-4.45,30.9,2.0
"{1: [920, 485, 940, 506]}","{1: [920, 485, 940, 506]}","{1: [920, 485, 940, 506]}","{1: [920.0, 485.0, 940.0, 506.0]}",279,"(930, 495)",930,495,10,24,26.0,26.0,437.0,29.2,-5.95,31.4,0.52
"{1: [926, 514, 949, 537]}","{1: [926, 514, 949, 537]}","{1: [926, 514, 949, 537]}","{1: [926.0, 514.0, 949.0, 537.0]}",280,"(937, 525)",937,525,7,30,30.81,30.81,467.8,30.8,4.81,32.6,1.24
{},{},{},"{1: [937.0, 545.0, 963.0, 570.0]}",281,"(950, 557)",950,557,13,32,34.54,34.54,497.8,30.0,3.73,31.9,-0.68
{},{},{},"{1: [949.0, 576.0, 975.0, 601.0]}",282,"(962, 588)",962,588,12,31,33.24,33.24,527.2,29.4,-1.3,31.3,-0.63
{},{},{},"{1: [961.0, 604.0, 987.0, 629.0]}",283,"(974, 616)",974,616,12,28,30.46,30.46,556.2,29.0,-2.78,31.0,-0.3
"{1: [969, 625, 998, 652]}","{1: [969, 625, 998, 652]}","{1: [969, 625, 998, 652]}","{1: [969.0, 625.0, 998.0, 652.0]}",284,"(983, 638)",983,638,9,22,23.77,23.77,584.8,28.6,-6.69,30.6,-0.45
"{1: [984, 634, 1000, 652]}","{1: [984, 634, 1000, 652]}","{1: [984, 634, 1000, 652]}","{1: [984.0, 634.0, 1000.0, 652.0]}",285,"(992, 643)",992,643,9,5,10.3,10.3,608.4,23.6,-13.47,26.5,-4.1
"{1: [994, 637, 1014, 656], 2: [990, 628, 1020, 664]}","{1: [994, 637, 1014, 656]}","{1: [994, 637, 1014, 656]}","{1: [994.0, 637.0, 1014.0, 656.0]}",286,"(1004, 646)",1004,646,12,3,12.37,12.37,626.2,17.8,2.07,22.0,-4.43
"{1: [1002, 645, 1024, 669]}","{1: [1002, 645, 1024, 669]}","{1: [1002, 645, 1024, 669]}","{1: [1002.0, 645.0, 1024.0, 669.0]}",287,"(1013, 657)",1013,657,9,11,14.21,14.21,640.0,13.8,1.84,18.2,-3.81
"{1: [1017, 659, 1035, 676], 2: [1010, 650, 1044, 686]}","{1: [1017, 659, 1035, 676]}","{1: [1017, 659, 1035, 676]}","{1: [1017.0, 659.0, 1035.0, 676.0]}",288,"(1026, 667)",1026,667,13,10,16.4,16.4,650.2,10.2,2.19,15.4,-2.81
"{1: [1023, 668, 1048, 695]}","{1: [1023, 668, 1048, 695]}","{1: [1023, 668, 1048, 695]}","{1: [1023.0, 668.0, 1048.0, 695.0]}",289,"(1035, 681)",1035,681,9,14,16.64,16.64,658.8,8.6,0.24,14.0,-1.43
"{1: [1039, 688, 1056, 707]}","{1: [1039, 688, 1056, 707]}","{1: [1039, 688, 1056, 707]}","{1: [1039.0, 688.0, 1056.0, 707.0]}",290,"(1047, 697)",1047,697,12,16,20.0,20.0,669.6,10.8,3.36,15.9,1.94
"{1: [1049, 707, 1070, 728]}","{1: [1049, 707, 1070, 728]}","{1: [1049, 707, 1070, 728]}","{1: [1049.0, 707.0, 1070.0, 728.0]}",291,"(1059, 717)",1059,717,12,20,23.32,23.32,683.8,14.2,3.32,18.1,2.19
"{1: [1065, 733, 1080, 749]}","{1: [1065, 733, 1080, 749]}","{1: [1065, 733, 1080, 749]}","{1: [1065.0, 733.0, 1080.0, 749.0]}",292,"(1072, 741)",1072,741,13,24,27.29,27.29,700.6,16.8,3.97,20.7,2.62
"{1: [1072, 755, 1094, 776]}","{1: [1072, 755, 1094, 776]}","{1: [1072, 755, 1094, 776]}","{1: [1072.0, 755.0, 1094.0, 776.0]}",293,"(1083, 765)",1083,765,11,24,26.4,26.4,720.2,19.6,-0.89,22.7,2.0
"{1: [1088, 786, 1108, 807]}","{1: [1088, 786, 1108, 807]}","{1: [1088, 786, 1108, 807]}","{1: [1088.0, 786.0, 1108.0, 807.0]}",294,"(1098, 796)",1098,796,15,31,34.44,34.44,743.2,23.0,8.04,26.3,3.56
{},{},{},"{1: [1099.0, 746.0, 1120.0, 768.0]}",295,"(1109, 757)",1109,757,11,-39,40.52,-40.52,755.2,12.0,-74.96,30.4,-12.1
"{1: [1108, 716, 1131, 740]}","{1: [1108, 716, 1131, 740]}","{1: [1108, 716, 1131, 740]}","{1: [1108.0, 716.0, 1131.0, 740.0]}",296,"(1119, 728)",1119,728,10,-29,30.68,-30.68,757.4,2.2,9.84,31.9,-10.8
"{1: [1115, 651, 1142, 680]}","{1: [1115, 651, 1142, 680]}","{1: [1115, 651, 1142, 680]}","{1: [1115.0, 651.0, 1142.0, 680.0]}",297,"(1128, 665)",1128,665,9,-63,63.64,-63.64,742.2,-15.2,-32.96,39.1,-18.19
"{1: [1121, 590, 1143, 612]}","{1: [1121, 590, 1143, 612]}","{1: [1121, 590, 1143, 612]}","{1: [1121.0, 590.0, 1143.0, 612.0]}",298,"(1132, 601)",1132,601,4,-64,64.12,-64.12,709.4,-32.8,-0.48,46.7,-18.1
"{1: [1128, 531, 1150, 555], 2: [1125, 526, 1154, 560]}","{1: [1128, 531, 1150, 555]}","{1: [1128, 531, 1150, 555]}","{1: [1128.0, 531.0, 1150.0, 555.0]}",299,"(1139, 543)",1139,543,7,-58,58.42,-58.42,658.8,-50.6,5.7,51.5,-18.57
"{1: [1135, 495, 1150, 511]}","{1: [1135, 495, 1150, 511]}","{1: [1135, 495, 1150, 511]}","{1: [1135.0, 495.0, 1150.0, 511.0]}",300,"(1142, 503)",1142,503,3,-40,40.11,-40.11,608.0,-50.8,18.31,51.4,0.08
{},{},{},"{1: [1137.0, 458.0, 1155.0, 476.0]}",301,"(1146, 467)",1146,467,4,-36,36.22,-36.22,555.8,-52.2,3.89,52.5,-1.11
{},{},{},"{1: [1141.0, 424.0, 1159.0, 442.0]}",302,"(1150, 433)",1150,433,4,-34,34.23,-34.23,509.4,-46.4,1.99,46.6,5.88
{},{},{},"{1: [1145.0, 394.0, 1162.0, 412.0]}",303,"(1153, 403)",1153,403,3,-30,30.15,-30.15,469.8,-39.6,4.08,39.8,6.79
"{1: [1147, 370, 1167, 390]}","{1: [1147, 370, 1167, 390]}","{1: [1147, 370, 1167, 390]}","{1: [1147.0, 370.0, 1167.0, 390.0]}",304,"(1157, 380)",1157,380,4,-23,23.35,-23.35,437.2,-32.6,6.8,32.8,7.01
"{1: [1151, 354, 1170, 373]}","{1: [1151, 354, 1170, 373]}","{1: [1151, 354, 1170, 373]}","{1: [1151.0, 354.0, 1170.0, 373.0]}",305,"(1160, 363)",1160,363,3,-17,17.26,-17.26,409.2,-28.0,6.09,28.2,4.57
"{1: [1151, 334, 1175, 359]}","{1: [1151, 334, 1175, 359]}","{1: [1151, 334, 1175, 359]}","{1: [1151.0, 334.0, 1175.0, 359.0]}",306,"(1163, 346)",1163,346,3,-17,17.26,-17.26,385.0,-24.2,0.0,24.5,3.79
"{1: [1156, 329, 1170, 344]}","{1: [1156, 329, 1170, 344]}","{1: [1156, 329, 1170, 344]}","{1: [1156.0, 329.0, 1170.0, 344.0]}",307,"(1163, 336)",1163,336,0,-10,10.0,-10.0,365.6,-19.4,7.26,19.6,4.85
"{1: [1157, 313, 1179, 337], 2: [1152, 311, 1181, 341]}","{1: [1152, 311, 1181, 341]}","{1: [1152, 311, 1181, 341]}","{1: [1152.0, 311.0, 1181.0, 341.0]}",308,"(1166, 326)",1166,326,3,-10,10.44,-10.44,350.2,-15.4,-0.44,15.7,3.94
"{1: [1157, 308, 1177, 329]}","{1: [1157, 308, 1177, 329]}","{1: [1157, 308, 1177, 329]}","{1: [1157.0, 308.0, 1177.0, 329.0]}",309,"(1167, 318)",1167,318,1,-8,8.06,-8.06,337.8,-12.4,2.38,12.6,3.06
"{1: [1159, 305, 1177, 324]}","{1: [1159, 305, 1177, 324]}","{1: [1159, 305, 1177, 324]}","{1: [1159.0, 305.0, 1177.0, 324.0]}",310,"(1168, 314)",1168,314,1,-4,4.12,-4.12,328.0,-9.8,3.94,10.0,2.63
"{1: [1161, 301, 1182, 321], 2: [1158, 292, 1189, 328]}","{1: [1161, 301, 1182, 321]}","{1: [1161, 301, 1182, 321]}","{1: [1161.0, 301.0, 1182.0, 321.0]}",311,"(1171, 311)",1171,311,3,-3,4.24,-4.24,321.0,-7.0,-0.12,7.4,2.6
"{1: [1160, 294, 1189, 326], 2: [1162, 299, 1186, 323]}","{1: [1162, 299, 1186, 323]}","{1: [1162, 299, 1186, 323]}","{1: [1162.0, 299.0, 1186.0, 323.0]}",312,"(1174, 311)",1174,311,3,0,3.0,3.0,316.0,-5.0,7.24,6.0,2.6
"{1: [1161, 295, 1189, 325], 2: [1162, 299, 1186, 323]}","{1: [1162, 299, 1186, 323]}","{1: [1162, 299, 1186, 323]}","{1: [1162.0, 299.0, 1186.0, 323.0]}",313,"(1174, 311)",1174,311,0,0,0.0,0.0,313.0,-3.0,-3.0,3.9,2.09
"{1: [1162, 297, 1189, 327]}","{1: [1162, 297, 1189, 327]}","{1: [1162, 297, 1189, 327]}","{1: [1162.0, 297.0, 1189.0, 327.0]}",314,"(1175, 312)",1175,312,1,1,1.41,1.41,311.8,-1.2,1.41,2.6,1.89
"{1: [1162, 300, 1189, 331]}","{1: [1162, 300, 1189, 331]}","{1: [1162, 300, 1189, 331]}","{1: [1162.0, 300.0, 1189.0, 331.0]}",315,"(1175, 315)",1175,315,0,3,3.0,3.0,312.0,0.2,1.59,2.3,1.42
"{1: [1163, 305, 1190, 335]}","{1: [1163, 305, 1190, 335]}","{1: [1163, 305, 1190, 335]}","{1: [1163.0, 305.0, 1190.0, 335.0]}",316,"(1176, 320)",1176,320,1,5,5.1,5.1,313.8,1.8,2.1,2.5,1.87
"{1: [1163, 313, 1189, 339], 2: [1162, 309, 1191, 349]}","{1: [1163, 313, 1189, 339]}","{1: [1163, 313, 1189, 339]}","{1: [1163.0, 313.0, 1189.0, 339.0]}",317,"(1176, 326)",1176,326,0,6,6.0,6.0,316.8,3.0,0.9,3.1,0.6
"{1: [1167, 318, 1189, 340]}","{1: [1167, 318, 1189, 340]}","{1: [1167, 318, 1189, 340]}","{1: [1167.0, 318.0, 1189.0, 340.0]}",318,"(1178, 329)",1178,329,2,3,3.61,3.61,320.4,3.6,-2.39,3.8,0.72
"{1: [1166, 298, 1190, 324]}","{1: [1166, 298, 1190, 324]}","{1: [1166, 298, 1190, 324]}","{1: [1166.0, 298.0, 1190.0, 324.0]}",319,"(1178, 311)",1178,311,0,-18,18.0,-18.0,320.2,-0.2,-21.61,7.1,-3.88
{},{},{},"{1: [1166.0, 279.0, 1190.0, 305.0]}",320,"(1178, 292)",1178,292,0,-19,19.0,-19.0,315.6,-4.6,-1.0,10.3,-4.4
"{1: [1167, 266, 1191, 291]}","{1: [1167, 266, 1191, 291]}","{1: [1167, 266, 1191, 291]}","{1: [1167.0, 266.0, 1191.0, 291.0]}",321,"(1179, 278)",1179,278,1,-14,14.04,-14.04,307.2,-8.4,4.96,12.1,-3.83
"{1: [1167, 251, 1189, 274]}","{1: [1167, 251, 1189, 274]}","{1: [1167, 251, 1189, 274]}","{1: [1167.0, 251.0, 1189.0, 274.0]}",322,"(1178, 262)",1178,262,-1,-16,16.03,-16.03,294.4,-12.8,-1.99,14.1,-4.41
"{1: [1166, 237, 1191, 267]}","{1: [1166, 237, 1191, 267]}","{1: [1166, 237, 1191, 267]}","{1: [1166.0, 237.0, 1191.0, 267.0]}",323,"(1178, 252)",1178,252,0,-10,10.0,-10.0,279.0,-15.4,6.03,15.4,-2.72
"{1: [1168, 229, 1190, 251]}","{1: [1168, 229, 1190, 251]}","{1: [1168, 229, 1190, 251]}","{1: [1168.0, 229.0, 1190.0, 251.0]}",324,"(1179, 240)",1179,240,1,-12,12.04,-12.04,264.8,-14.2,-2.04,14.2,1.19
{},{},{},"{1: [1167.0, 218.0, 1190.0, 241.0]}",325,"(1178, 229)",1178,229,-1,-11,11.05,-11.05,252.2,-12.6,0.99,12.6,1.59
"{1: [1168, 210, 1191, 234]}","{1: [1168, 210, 1191, 234]}","{1: [1168, 210, 1191, 234]}","{1: [1168.0, 210.0, 1191.0, 234.0]}",326,"(1179, 222)",1179,222,1,-7,7.07,-7.07,241.0,-11.2,3.98,11.2,1.39
"{1: [1168, 205, 1191, 228]}","{1: [1168, 205, 1191, 228]}","{1: [1168, 205, 1191, 228]}","{1: [1168.0, 205.0, 1191.0, 228.0]}",327,"(1179, 216)",1179,216,0,-6,6.0,-6.0,231.8,-9.2,1.07,9.2,2.01
"{1: [848, 731, 866, 750]}",{},{},"{1: [1157.0, 209.0, 1176.0, 229.0]}",328,"(1166, 219)",1166,219,-13,3,13.34,13.34,225.2,-6.6,19.34,9.9,4.67
{},{},{},"{1: [1146.0, 213.0, 1164.0, 233.0]}",329,"(1155, 223)",1155,223,-11,4,11.7,11.7,221.8,-3.4,-1.64,9.8,4.75
{},{},{},"{1: [1135.0, 216.0, 1153.0, 236.0]}",330,"(1144, 226)",1144,226,-11,3,11.4,11.4,221.2,-0.6,-0.3,9.9,4.49
{},{},{},"{1: [1125.0, 219.0, 1143.0, 239.0]}",331,"(1134, 229)",1134,229,-10,3,10.44,10.44,222.6,1.4,-0.96,10.6,3.5
{},{},{},"{1: [1115.0, 222.0, 1134.0, 242.0]}",332,"(1124, 232)",1124,232,-10,3,10.44,10.44,225.8,3.2,0.0,11.5,3.29
"{1: [1111, 227, 1125, 244]}","{1: [1111, 227, 1125, 244]}","{1: [1111, 227, 1125, 244]}","{1: [1111.0, 227.0, 1125.0, 244.0]}",333,"(1118, 235)",1118,235,-6,3,6.71,6.71,229.0,3.2,-3.73,10.1,-1.33
"{1: [1091, 231, 1118, 260]}","{1: [1091, 231, 1118, 260]}","{1: [1091, 231, 1118, 260]}","{1: [1091.0, 231.0, 1118.0, 260.0]}",334,"(1104, 245)",1104,245,-14,10,17.2,17.2,233.4,4.4,10.49,11.2,1.1
"{1: [1076, 250, 1095, 269]}","{1: [1076, 250, 1095, 269]}","{1: [1076, 250, 1095, 269]}","{1: [1076.0, 250.0, 1095.0, 269.0]}",335,"(1085, 259)",1085,259,-19,14,23.6,23.6,240.0,6.6,6.4,13.7,2.44
"{1: [1060, 260, 1077, 279]}","{1: [1060, 260, 1077, 279]}","{1: [1060, 260, 1077, 279]}","{1: [1060.0, 260.0, 1077.0, 279.0]}",336,"(1068, 269)",1068,269,-17,10,19.72,19.72,248.0,8.0,-3.88,15.5,1.86
"{1: [1039, 269, 1069, 296]}","{1: [1039, 269, 1069, 296]}","{1: [1039, 269, 1069, 296]}","{1: [1039.0, 269.0, 1069.0, 296.0]}",337,"(1054, 282)",1054,282,-14,13,19.1,19.1,258.0,10.0,-0.62,17.3,1.73
{},{},{},"{1: [1018.0, 291.0, 1044.0, 315.0]}",338,"(1031, 303)",1031,303,-23,21,31.14,31.14,271.6,13.6,12.04,22.2,4.89
"{1: [1004, 309, 1026, 331]}","{1: [1004, 309, 1026, 331]}","{1: [1004, 309, 1026, 331]}","{1: [1004.0, 309.0, 1026.0, 331.0]}",339,"(1015, 320)",1015,320,-16,17,23.35,23.35,286.6,15.0,-7.79,23.4,1.23
"{1: [989, 331, 1004, 347]}","{1: [989, 331, 1004, 347]}","{1: [989, 331, 1004, 347]}","{1: [989.0, 331.0, 1004.0, 347.0]}",340,"(996, 339)",996,339,-19,19,26.87,26.87,302.6,16.0,3.52,24.0,0.65
"{1: [967, 342, 997, 370]}","{1: [967, 342, 997, 370]}","{1: [967, 342, 997, 370]}","{1: [967.0, 342.0, 997.0, 370.0]}",341,"(982, 356)",982,356,-14,17,22.02,22.02,320.0,17.4,-4.85,24.5,0.46
{},{},{},"{1: [945.0, 378.0, 968.0, 401.0]}",342,"(956, 389)",956,389,-26,33,42.01,42.01,341.4,21.4,19.99,29.1,4.58
{},{},{},"{1: [921.0, 410.0, 944.0, 433.0]}",343,"(932, 421)",932,421,-24,32,40.0,40.0,365.0,23.6,-2.01,30.8,1.77
{},{},{},"{1: [898.0, 440.0, 922.0, 463.0]}",344,"(910, 451)",910,451,-22,30,37.2,37.2,391.2,26.2,-2.8,33.6,2.77
{},{},{},"{1: [878.0, 467.0, 902.0, 490.0]}",345,"(890, 478)",890,478,-20,27,33.6,33.6,419.0,27.8,-3.6,35.0,1.35
"{1: [867, 492, 884, 509]}","{1: [867, 492, 884, 509]}","{1: [867, 492, 884, 509]}","{1: [867.0, 492.0, 884.0, 509.0]}",346,"(875, 500)",875,500,-15,22,26.63,26.63,447.8,28.8,-6.97,35.9,0.92
"{1: [842, 524, 861, 545]}","{1: [842, 524, 861, 545]}","{1: [842, 524, 861, 545]}","{1: [842.0, 524.0, 861.0, 545.0]}",347,"(851, 534)",851,534,-24,34,41.62,41.62,476.8,29.0,14.99,35.8,-0.08
"{1: [822, 563, 837, 579]}","{1: [822, 563, 837, 579]}","{1: [822, 563, 837, 579]}","{1: [822.0, 563.0, 837.0, 579.0]}",348,"(829, 571)",829,571,-22,37,43.05,43.05,506.8,30.0,1.43,36.4,0.61
"{1: [800, 592, 816, 609]}","{1: [800, 592, 816, 609]}","{1: [800, 592, 816, 609]}","{1: [800.0, 592.0, 816.0, 609.0]}",349,"(808, 600)",808,600,-21,29,35.81,35.81,536.6,29.8,-7.24,36.1,-0.28
"{1: [778, 592, 801, 616], 2: [775, 585, 805, 620]}","{1: [775, 585, 805, 620]}","{1: [775, 585, 805, 620]}","{1: [775.0, 585.0, 805.0, 620.0]}",350,"(790, 602)",790,602,-18,2,18.11,18.11,561.4,24.8,-17.7,33.0,-3.1
"{1: [758, 593, 782, 620]}","{1: [758, 593, 782, 620]}","{1: [758, 593, 782, 620]}","{1: [758.0, 593.0, 782.0, 620.0]}",351,"(770, 606)",770,606,-20,4,20.4,20.4,582.6,21.2,2.29,31.8,-1.25
"{1: [737, 597, 762, 624]}","{1: [737, 597, 762, 624]}","{1: [737, 597, 762, 624]}","{1: [737.0, 597.0, 762.0, 624.0]}",352,"(749, 610)",749,610,-21,4,21.38,21.38,597.8,15.2,0.98,27.8,-4.05
"{1: [725, 610, 739, 627]}","{1: [725, 610, 739, 627]}","{1: [725, 610, 739, 627]}","{1: [725.0, 610.0, 739.0, 627.0]}",353,"(732, 618)",732,618,-17,8,18.79,18.79,607.2,9.4,-2.59,22.9,-4.85
{},{},{},"{1: [699.0, 623.0, 714.0, 640.0]}",354,"(706, 631)",706,631,-26,13,29.07,29.07,613.4,6.2,10.28,21.6,-1.35
"{1: [679, 634, 695, 652]}","{1: [679, 634, 695, 652]}","{1: [679, 634, 695, 652]}","{1: [679.0, 634.0, 695.0, 652.0]}",355,"(687, 643)",687,643,-19,12,22.47,22.47,621.6,8.2,-6.6,22.4,0.87
"{1: [655, 644, 678, 669], 2: [651, 635, 685, 673]}","{1: [655, 644, 678, 669]}","{1: [655, 644, 678, 669]}","{1: [655.0, 644.0, 678.0, 669.0]}",356,"(666, 656)",666,656,-21,13,24.7,24.7,631.6,10.0,2.23,23.3,0.86
"{1: [632, 654, 661, 685], 2: [634, 660, 656, 682]}","{1: [634, 660, 656, 682]}","{1: [634, 660, 656, 682]}","{1: [634.0, 660.0, 656.0, 682.0]}",357,"(645, 671)",645,671,-21,15,25.81,25.81,643.8,12.2,1.11,24.2,0.89
"{1: [609, 677, 636, 703]}","{1: [609, 677, 636, 703]}","{1: [609, 677, 636, 703]}","{1: [609.0, 677.0, 636.0, 703.0]}",358,"(622, 690)",622,690,-23,19,29.83,29.83,658.2,14.4,4.02,26.4,2.21
{},{},{},"{1: [586.0, 707.0, 607.0, 729.0]}",359,"(596, 718)",596,718,-26,28,38.21,38.21,675.6,17.4,8.38,28.2,1.83
{},{},{},"{1: [562.0, 735.0, 583.0, 757.0]}",360,"(572, 746)",572,746,-24,28,36.88,36.88,696.2,20.6,-1.33,31.1,2.88
{},{},{},"{1: [540.0, 761.0, 561.0, 783.0]}",361,"(550, 772)",550,772,-22,26,34.06,34.06,719.4,23.2,-2.82,33.0,1.87
{},{},{},"{1: [520.0, 784.0, 541.0, 806.0]}",362,"(530, 795)",530,795,-20,23,30.48,30.48,744.2,24.8,-3.58,33.9,0.93
