frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
97,0.08,6.15,0.19,15.33,0,0.0,0.0,0,0.0,0.0
98,0.04,6.19,0.14,15.47,0,0.0,0.0,0,0.0,0.0
99,0.06,6.25,0.11,15.58,0,0.0,0.0,0,0.0,0.0
100,0.06,6.31,0.19,15.77,0,0.0,0.0,0,0.0,0.0
101,0.12,6.43,0.14,15.91,0,0.0,0.0,0,0.0,0.0
102,0.12,6.55,0.12,16.03,0,0.0,0.0,0,0.0,0.0
103,0.09,6.64,0.17,16.2,0,0.0,0.0,0,0.0,0.0
104,0.04,6.68,0.16,16.36,0,0.0,0.0,0,0.0,0.0
105,0.0,6.68,0.19,16.55,0,0.0,0.0,0,0.0,0.0
106,0.04,6.72,0.16,16.71,0,0.0,0.0,0,0.0,0.0
107,0.0,6.72,0.12,16.83,0,0.0,0.0,0,0.0,0.0
108,0.04,6.76,0.09,16.92,0,0.0,0.0,0,0.0,0.0
109,0.0,6.76,0.08,17.0,0,0.0,0.0,0,0.0,0.0
110,0.0,6.76,0.17,17.17,0,0.0,0.0,0,0.0,0.0
111,0.0,6.76,0.17,17.34,0,0.0,0.0,0,0.0,0.0
112,0.04,6.8,0.12,17.46,0,0.0,0.0,0,0.0,0.0
113,0.04,6.84,0.17,17.63,0,0.0,0.0,0,0.0,0.0
114,0.06,6.9,0.09,17.72,0,0.0,0.0,0,0.0,0.0
115,0.09,6.99,0.14,17.86,0,0.0,0.0,0,0.0,0.0
116,0.04,7.03,0.19,18.05,0,0.0,0.0,0,0.0,0.0
117,0.04,7.07,0.17,18.22,1,129.85,129.85,0,0.0,0.0
118,0.09,7.16,0.17,18.39,1,129.85,129.85,0,0.0,0.0
119,0.09,7.25,0.14,18.53,1,129.85,129.85,0,0.0,0.0
120,0.09,7.34,0.21,18.74,1,129.85,129.85,0,0.0,0.0
121,0.06,7.4,0.17,18.91,1,129.85,129.85,0,0.0,0.0
122,0.12,7.52,0.06,18.97,1,129.85,129.85,0,0.0,0.0
123,0.06,7.58,0.04,19.01,1,129.85,129.85,0,0.0,0.0
124,0.06,7.64,0.0,19.01,1,129.85,129.85,0,0.0,0.0
125,0.04,7.68,0.0,19.01,1,129.85,129.85,0,0.0,0.0
126,0.04,7.72,0.04,19.05,1,129.85,129.85,0,0.0,0.0
127,0.0,7.72,0.09,19.14,1,129.85,129.85,0,0.0,0.0
128,0.04,7.76,0.12,19.26,1,129.85,129.85,0,0.0,0.0
129,0.08,7.84,0.16,19.42,1,129.85,129.85,0,0.0,0.0
130,0.09,7.93,0.19,19.61,1,129.85,129.85,0,0.0,0.0
131,0.14,8.07,0.23,19.84,1,129.85,129.85,0,0.0,0.0
132,0.17,8.24,0.2,20.04,1,129.85,129.85,0,0.0,0.0
133,0.2,8.44,0.16,20.2,1,129.85,129.85,0,0.0,0.0
134,0.16,8.6,0.12,20.32,1,129.85,129.85,0,0.0,0.0
135,0.09,8.69,0.16,20.48,1,129.85,129.85,0,0.0,0.0
136,0.17,8.86,0.23,20.71,1,129.85,129.85,0,0.0,0.0
137,0.12,8.98,0.23,20.94,1,129.85,129.85,0,0.0,0.0
138,0.12,9.1,0.19,21.13,1,129.85,129.85,0,0.0,0.0
139,0.04,9.14,0.12,21.25,1,129.85,129.85,0,0.0,0.0
140,0.14,9.28,0.12,21.37,1,129.85,129.85,0,0.0,0.0
141,0.12,9.4,0.09,21.46,1,129.85,129.85,0,0.0,0.0
142,0.04,9.44,0.12,21.58,1,129.85,129.85,0,0.0,0.0
143,0.17,9.61,0.23,21.81,1,129.85,129.85,0,0.0,0.0
144,0.16,9.77,0.2,22.01,1,129.85,129.85,1,113.43,113.43
145,0.16,9.93,0.21,22.22,1,129.85,129.85,1,113.43,113.43
146,0.19,10.12,0.17,22.39,1,129.85,129.85,1,113.43,113.43
147,0.14,10.26,0.17,22.56,1,129.85,129.85,1,113.43,113.43
148,0.14,10.4,0.19,22.75,1,129.85,129.85,1,113.43,113.43
149,0.19,10.59,0.2,22.95,1,129.85,129.85,1,113.43,113.43
150,0.25,10.84,0.16,23.11,1,129.85,129.85,1,113.43,113.43
151,0.23,11.07,0.16,23.27,1,129.85,129.85,1,113.43,113.43
152,0.12,11.19,0.12,23.39,1,129.85,129.85,1,113.43,113.43
153,0.14,11.33,0.09,23.48,1,129.85,129.85,1,113.43,113.43
154,0.14,11.47,0.06,23.54,1,129.85,129.85,1,113.43,113.43
155,0.09,11.56,0.09,23.63,1,129.85,129.85,1,113.43,113.43
156,0.12,11.68,0.04,23.67,1,129.85,129.85,1,113.43,113.43
157,0.12,11.8,0.08,23.75,1,129.85,129.85,1,113.43,113.43
158,0.16,11.96,0.16,23.91,1,129.85,129.85,1,113.43,113.43
159,0.12,12.08,0.06,23.97,1,129.85,129.85,1,113.43,113.43
160,0.14,12.22,0.04,24.01,1,129.85,129.85,1,113.43,113.43
161,0.09,12.31,0.04,24.05,1,129.85,129.85,1,113.43,113.43
162,0.12,12.43,0.04,24.09,1,129.85,129.85,1,113.43,113.43
163,0.09,12.52,0.09,24.18,1,129.85,129.85,1,113.43,113.43
164,0.12,12.64,0.08,24.26,1,129.85,129.85,1,113.43,113.43
165,0.12,12.76,0.08,24.34,1,129.85,129.85,1,113.43,113.43
166,0.12,12.88,0.12,24.46,1,129.85,129.85,1,113.43,113.43
167,0.06,12.94,0.04,24.5,1,129.85,129.85,1,113.43,113.43
168,0.04,12.98,0.17,24.67,1,129.85,129.85,1,113.43,113.43
169,0.04,13.02,0.17,24.84,1,129.85,129.85,1,113.43,113.43
170,0.0,13.02,0.14,24.98,1,129.85,129.85,1,113.43,113.43
171,0.04,13.06,0.12,25.1,1,129.85,129.85,1,113.43,113.43
172,0.12,13.18,0.09,25.19,1,129.85,129.85,1,113.43,113.43
173,0.08,13.26,0.09,25.28,1,129.85,129.85,1,113.43,113.43
174,0.09,13.35,0.12,25.4,2,129.7,259.54999999999995,1,113.43,113.43
175,0.08,13.43,0.12,25.52,2,129.7,259.54999999999995,1,113.43,113.43
176,0.09,13.52,0.12,25.64,2,129.7,259.54999999999995,1,113.43,113.43
177,0.14,13.66,0.16,25.8,2,129.7,259.54999999999995,1,113.43,113.43
178,0.17,13.83,0.26,26.06,2,129.7,259.54999999999995,1,113.43,113.43
179,0.14,13.97,0.17,26.23,2,129.7,259.54999999999995,1,113.43,113.43
180,0.11,14.08,0.09,26.32,2,129.7,259.54999999999995,1,113.43,113.43
181,0.08,14.16,0.04,26.36,2,129.7,259.54999999999995,1,113.43,113.43
182,0.0,14.16,0.06,26.42,2,129.7,259.54999999999995,1,113.43,113.43
183,0.0,14.16,0.0,26.42,2,129.7,259.54999999999995,1,113.43,113.43
184,0.0,14.16,0.0,26.42,2,129.7,259.54999999999995,1,113.43,113.43
185,0.08,14.24,0.06,26.48,2,129.7,259.54999999999995,1,113.43,113.43
186,0.12,14.36,0.06,26.54,2,129.7,259.54999999999995,1,113.43,113.43
187,0.09,14.45,0.08,26.62,2,129.7,259.54999999999995,1,113.43,113.43
188,0.04,14.49,0.12,26.74,2,129.7,259.54999999999995,1,113.43,113.43
189,0.04,14.53,0.11,26.85,2,129.7,259.54999999999995,1,113.43,113.43
190,0.09,14.62,0.17,27.02,2,129.7,259.54999999999995,1,113.43,113.43
191,0.04,14.66,0.09,27.11,2,129.7,259.54999999999995,1,113.43,113.43
192,0.08,14.74,0.0,27.11,2,129.7,259.54999999999995,1,113.43,113.43
193,0.12,14.86,0.08,27.19,2,129.7,259.54999999999995,1,113.43,113.43
194,0.11,14.97,0.04,27.23,2,129.7,259.54999999999995,1,113.43,113.43
195,0.09,15.06,0.06,27.29,2,129.7,259.54999999999995,1,113.43,113.43
196,0.17,15.23,0.06,27.35,2,129.7,259.54999999999995,1,113.43,113.43
197,0.19,15.42,0.0,27.35,2,129.7,259.54999999999995,1,113.43,113.43
198,0.17,15.59,0.04,27.39,2,129.7,259.54999999999995,1,113.43,113.43
199,0.09,15.68,0.0,27.39,2,129.7,259.54999999999995,1,113.43,113.43
200,0.09,15.77,0.0,27.39,2,129.7,259.54999999999995,1,113.43,113.43
201,0.0,15.77,0.04,27.43,2,129.7,259.54999999999995,1,113.43,113.43
202,0.0,15.77,0.09,27.52,2,129.7,259.54999999999995,1,113.43,113.43
203,0.0,15.77,0.09,27.61,2,129.7,259.54999999999995,1,113.43,113.43
204,0.0,15.77,0.09,27.7,2,129.7,259.54999999999995,2,121.24,234.67000000000002
205,0.04,15.81,0.11,27.81,2,129.7,259.54999999999995,2,121.24,234.67000000000002
206,0.04,15.85,0.06,27.87,2,129.7,259.54999999999995,2,121.24,234.67000000000002
207,0.12,15.97,0.09,27.96,2,129.7,259.54999999999995,2,121.24,234.67000000000002
208,0.12,16.09,0.0,27.96,2,129.7,259.54999999999995,2,121.24,234.67000000000002
209,0.12,16.21,0.06,28.02,2,129.7,259.54999999999995,2,121.24,234.67000000000002
210,0.08,16.29,0.0,28.02,2,129.7,259.54999999999995,2,121.24,234.67000000000002
211,0.12,16.41,0.08,28.1,2,129.7,259.54999999999995,2,121.24,234.67000000000002
212,0.08,16.49,0.06,28.16,2,129.7,259.54999999999995,2,121.24,234.67000000000002
