player_position_1,player_position_2,frame,player_1_ratio,player_2_ratio
"[1018.3375854492188, 674.5531005859375, 1146.994873046875, 903.0270385742188]","[764.736083984375, 160.50808715820312, 830.1455078125, 264.61895751953125]",165,0.56,0.63
"[1027.0540771484375, 675.0369873046875, 1164.2406005859375, 903.6655883789062]","[774.1199340820312, 158.21044921875, 832.4802856445312, 264.171630859375]",166,0.6,0.55
"[1031.1734619140625, 676.2011108398438, 1176.4964599609375, 905.2664184570312]","[779.6736450195312, 156.31558227539062, 835.075927734375, 264.3157958984375]",167,0.63,0.51
"[1033.1087646484375, 678.0775756835938, 1185.202880859375, 906.0540161132812]","[783.56640625, 154.8111572265625, 837.3514404296875, 265.7473449707031]",168,0.67,0.48
"[1035.229248046875, 677.8728637695312, 1188.857666015625, 906.2237548828125]","[787.8509521484375, 153.6799774169922, 840.5006103515625, 267.30938720703125]",169,0.67,0.46
"[1041.30029296875, 676.2890014648438, 1189.6204833984375, 905.9103393554688]","[795.4288330078125, 153.83363342285156, 843.3733520507812, 268.3884582519531]",170,0.65,0.42
"[1051.59130859375, 673.6126708984375, 1189.99072265625, 905.8408203125]","[806.2488403320312, 154.59645080566406, 847.0215454101562, 268.1080627441406]",171,0.6,0.36
"[1067.0269775390625, 670.2926635742188, 1197.6031494140625, 905.3898315429688]","[814.4374389648438, 154.61924743652344, 850.7055053710938, 268.58905029296875]",172,0.56,0.32
"[1081.421630859375, 666.573486328125, 1208.2349853515625, 904.8867797851562]","[818.8305053710938, 154.9620819091797, 855.0274658203125, 268.8748779296875]",173,0.53,0.32
"[1087.3699951171875, 664.6605224609375, 1226.5928955078125, 902.806640625]","[823.499755859375, 154.57749938964844, 861.5875244140625, 268.8197326660156]",174,0.58,0.33
"[1092.5643310546875, 664.25927734375, 1221.521240234375, 899.98291015625]","[826.9533081054688, 154.10043334960938, 873.4566040039062, 268.70263671875]",175,0.55,0.41
"[1099.8359375, 664.4284057617188, 1215.039794921875, 895.49072265625]","[830.0313720703125, 154.00047302246094, 885.2593383789062, 268.9173583984375]",176,0.5,0.48
"[1110.390869140625, 666.1492309570312, 1231.3045654296875, 889.0629272460938]","[834.2216796875, 154.84396362304688, 896.1883544921875, 268.568359375]",177,0.54,0.54
"[1122.4765625, 666.9075927734375, 1252.978759765625, 884.4514770507812]","[838.4393310546875, 157.0015106201172, 907.260009765625, 271.17724609375]",178,0.6,0.6
"[1135.3687744140625, 668.1484375, 1270.880859375, 881.522216796875]","[842.6010131835938, 160.01364135742188, 915.2871704101562, 272.63299560546875]",179,0.64,0.65
"[1145.16748046875, 669.8906860351562, 1287.3201904296875, 878.1358642578125]","[846.0885009765625, 163.05113220214844, 920.0565795898438, 272.8802490234375]",180,0.68,0.67
"[1147.9700927734375, 672.879638671875, 1298.0572509765625, 876.4049072265625]","[847.0233154296875, 167.7955322265625, 923.072509765625, 272.9338073730469]",181,0.74,0.72
"[1143.935546875, 674.3924560546875, 1305.5267333984375, 876.7020263671875]","[848.0755615234375, 170.99783325195312, 924.5504760742188, 272.6868591308594]",182,0.8,0.75
"[1139.7757568359375, 675.178955078125, 1308.2928466796875, 876.968505859375]","[849.0296630859375, 172.30567932128906, 925.22705078125, 272.6644592285156]",183,0.84,0.76
"[1139.5872802734375, 676.9924926757812, 1307.8648681640625, 877.7763061523438]","[849.0034790039062, 171.36981201171875, 925.1707153320312, 272.6292419433594]",184,0.84,0.75
"[1140.1400146484375, 677.2308349609375, 1308.791259765625, 880.4367065429688]","[847.0975952148438, 169.92852783203125, 923.73681640625, 272.885986328125]",185,0.83,0.74
"[1144.2254638671875, 676.7742309570312, 1308.911865234375, 886.941650390625]","[843.7084350585938, 167.5391082763672, 920.101318359375, 272.6936950683594]",186,0.78,0.73
"[1144.244384765625, 674.6871948242188, 1307.0150146484375, 891.4749755859375]","[839.19970703125, 165.46726989746094, 914.5870361328125, 272.79730224609375]",187,0.75,0.7
"[1142.0361328125, 672.0635375976562, 1302.649658203125, 893.2186889648438]","[836.4921264648438, 164.64134216308594, 905.4992065429688, 272.9186706542969]",188,0.73,0.64
"[1139.2745361328125, 668.1901245117188, 1294.7005615234375, 893.9396362304688]","[831.613525390625, 163.8247528076172, 896.9010620117188, 273.9253234863281]",189,0.69,0.59
"[1136.3516845703125, 664.5906372070312, 1282.263427734375, 894.4520263671875]","[827.0038452148438, 163.84225463867188, 889.6312866210938, 274.8242492675781]",190,0.63,0.56
"[1133.669189453125, 661.5526733398438, 1266.8824462890625, 894.4526977539062]","[822.5557250976562, 165.7381591796875, 886.3816528320312, 275.2601623535156]",191,0.57,0.58
"[1131.2574462890625, 658.4821166992188, 1247.1138916015625, 894.765380859375]","[820.10107421875, 166.88272094726562, 885.0779418945312, 275.3065185546875]",192,0.49,0.6
"[1128.2318115234375, 657.1786499023438, 1225.002685546875, 894.1030883789062]","[814.9902954101562, 168.22528076171875, 884.7069091796875, 275.2544250488281]",193,0.41,0.65
"[1124.627197265625, 657.9743041992188, 1208.1961669921875, 896.4693603515625]","[809.59033203125, 169.5359344482422, 884.5309448242188, 275.2439880371094]",194,0.35,0.71
"[1115.8538818359375, 660.048583984375, 1202.210693359375, 902.1620483398438]","[803.297607421875, 170.89292907714844, 884.5068969726562, 275.5302734375]",195,0.36,0.78
"[1102.254150390625, 664.4880981445312, 1198.6082763671875, 909.7889404296875]","[798.3087768554688, 172.1961669921875, 884.4074096679688, 275.9179382324219]",196,0.39,0.83
"[1082.6265869140625, 669.1863403320312, 1194.93115234375, 918.4005737304688]","[796.8963012695312, 172.6524658203125, 884.0015258789062, 276.17486572265625]",197,0.45,0.84
"[1066.6571044921875, 672.7687377929688, 1191.0888671875, 926.36083984375]","[797.450439453125, 172.8093719482422, 883.4216918945312, 276.33148193359375]",198,0.49,0.83
"[1059.4556884765625, 675.5633544921875, 1187.0938720703125, 930.9589233398438]","[800.9298706054688, 172.14950561523438, 882.733154296875, 276.3580322265625]",199,0.5,0.78
"[1056.224609375, 676.5967407226562, 1183.0057373046875, 934.3779907226562]","[802.62353515625, 171.25222778320312, 881.8739624023438, 276.414794921875]",200,0.49,0.75
"[1055.2972412109375, 676.1810302734375, 1179.631591796875, 935.4697875976562]","[802.4710083007812, 168.7707977294922, 879.487060546875, 276.0211181640625]",201,0.48,0.72
"[1054.7957763671875, 675.2891235351562, 1177.7513427734375, 935.7999877929688]","[796.9966430664062, 166.15188598632812, 877.5161743164062, 276.24847412109375]",202,0.47,0.73
"[1054.73291015625, 674.4295654296875, 1179.15673828125, 935.4727172851562]","[791.5816040039062, 164.4158477783203, 872.3222045898438, 276.79925537109375]",203,0.48,0.72
"[1055.2969970703125, 674.4136352539062, 1182.3160400390625, 934.53564453125]","[791.5878295898438, 163.49977111816406, 865.1015625, 276.105712890625]",204,0.49,0.65
"[1051.8746337890625, 677.3840942382812, 1186.527099609375, 936.3534545898438]","[792.0809326171875, 163.1662139892578, 858.6165161132812, 276.78363037109375]",205,0.52,0.59
"[1046.2562255859375, 681.6303100585938, 1191.7767333984375, 939.8518676757812]","[787.5152587890625, 163.1492156982422, 856.0601806640625, 277.2541809082031]",206,0.56,0.6
"[1040.660400390625, 687.3286743164062, 1196.9327392578125, 946.533935546875]","[783.7689819335938, 162.25094604492188, 856.1868286132812, 277.84759521484375]",207,0.6,0.63
"[1037.8681640625, 694.6708984375, 1201.253662109375, 952.7786254882812]","[780.732666015625, 163.6217041015625, 855.8786010742188, 278.1787109375]",208,0.63,0.66
"[1035.51123046875, 704.3731079101562, 1208.0386962890625, 960.0609741210938]","[777.8102416992188, 166.634521484375, 855.8123779296875, 278.3920593261719]",209,0.67,0.7
"[1034.036376953125, 713.956298828125, 1212.627685546875, 963.2810668945312]","[776.82470703125, 168.18373107910156, 856.71923828125, 278.2439270019531]",210,0.72,0.73
"[1033.599609375, 720.6846313476562, 1214.9129638671875, 970.4672241210938]","[776.4822998046875, 168.41412353515625, 857.1174926757812, 277.4575500488281]",211,0.73,0.74
"[1034.033447265625, 724.68798828125, 1217.291015625, 975.378662109375]","[776.4503784179688, 168.1616668701172, 855.2129516601562, 276.99615478515625]",212,0.73,0.72
"[1035.7689208984375, 726.9559326171875, 1218.4248046875, 976.9544067382812]","[776.5747680664062, 167.47116088867188, 853.3240966796875, 276.6309509277344]",213,0.73,0.7
"[1040.9205322265625, 726.6748046875, 1218.859619140625, 977.38623046875]","[776.7599487304688, 166.3794403076172, 853.8974609375, 276.4867248535156]",214,0.71,0.7
"[1047.90771484375, 725.4078369140625, 1219.1871337890625, 977.3395385742188]","[777.27880859375, 164.79989624023438, 854.8169555664062, 276.4970397949219]",215,0.68,0.69
"[1055.677001953125, 722.9215698242188, 1219.4998779296875, 976.87109375]","[779.7575073242188, 164.33828735351562, 859.4491577148438, 277.09893798828125]",216,0.65,0.71
"[1063.4534912109375, 718.532470703125, 1220.2738037109375, 976.8160400390625]","[783.9735717773438, 164.41506958007812, 864.1902465820312, 276.0364990234375]",217,0.61,0.72
"[1068.0443115234375, 714.7257080078125, 1222.3411865234375, 976.229248046875]","[790.1265869140625, 163.45936584472656, 867.5708618164062, 275.084716796875]",218,0.59,0.69
"[1069.1539306640625, 711.4720458984375, 1226.635009765625, 973.3632202148438]","[800.7888793945312, 162.0677032470703, 869.3179321289062, 274.7455139160156]",219,0.6,0.61
"[1068.9830322265625, 708.9920654296875, 1228.6053466796875, 969.6131591796875]","[812.5394287109375, 159.59519958496094, 873.0183715820312, 274.37384033203125]",220,0.61,0.53
"[1066.7596435546875, 708.7518920898438, 1230.9638671875, 965.856201171875]","[823.86328125, 157.88978576660156, 877.4450073242188, 274.3542785644531]",221,0.64,0.46
"[1061.008056640625, 710.302734375, 1231.46435546875, 964.313720703125]","[831.4356689453125, 156.0858917236328, 879.3998413085938, 274.635498046875]",222,0.67,0.4
"[1057.7178955078125, 712.2894897460938, 1224.582763671875, 963.823974609375]","[839.0562133789062, 155.20616149902344, 881.6966552734375, 274.8380432128906]",223,0.66,0.36
"[1054.245361328125, 714.475341796875, 1219.17236328125, 963.3731079101562]","[846.9573364257812, 155.38360595703125, 884.3958740234375, 276.20977783203125]",224,0.66,0.31
"[1053.1021728515625, 717.858642578125, 1215.7626953125, 963.5618896484375]","[850.6292114257812, 156.32284545898438, 887.4176025390625, 276.5993957519531]",225,0.66,0.31
"[1052.0518798828125, 720.5447387695312, 1221.396484375, 963.472900390625]","[854.7129516601562, 157.9572296142578, 897.0789794921875, 277.06414794921875]",226,0.7,0.36
"[1054.967529296875, 721.708740234375, 1228.468505859375, 963.4481811523438]","[858.015380859375, 159.9966583251953, 908.5739135742188, 277.81829833984375]",227,0.72,0.43
"[1055.29052734375, 722.2913208007812, 1228.714111328125, 963.6136474609375]","[861.6122436523438, 161.16329956054688, 920.1434326171875, 278.1722717285156]",228,0.72,0.5
"[1056.2330322265625, 722.363037109375, 1215.7603759765625, 963.3154296875]","[865.93994140625, 162.06640625, 926.3444213867188, 278.0602722167969]",229,0.66,0.52
"[1055.9749755859375, 720.7123413085938, 1196.722412109375, 962.2442626953125]","[869.1033325195312, 162.25050354003906, 929.4407348632812, 278.11181640625]",230,0.58,0.52
"[1055.9559326171875, 715.7107543945312, 1188.227783203125, 961.3751220703125]","[871.4293212890625, 161.37232971191406, 930.9965209960938, 277.8340148925781]",231,0.54,0.51
"[1054.567626953125, 711.1237182617188, 1181.97216796875, 960.209716796875]","[872.7491455078125, 160.0140838623047, 931.3312377929688, 277.2198181152344]",232,0.51,0.5
"[1045.041748046875, 706.3472290039062, 1176.2763671875, 958.1803588867188]","[873.1231079101562, 158.47616577148438, 931.2308349609375, 276.7485046386719]",233,0.52,0.49
"[1034.7933349609375, 701.2755126953125, 1176.28369140625, 953.1080932617188]","[873.9258422851562, 157.54393005371094, 932.7025756835938, 275.6632385253906]",234,0.56,0.5
"[1026.149658203125, 696.1840209960938, 1147.7548828125, 950.8286743164062]","[875.0494995117188, 157.5091094970703, 935.7664794921875, 274.7373962402344]",235,0.48,0.52
"[1019.944091796875, 691.39990234375, 1135.6829833984375, 947.090087890625]","[877.1681518554688, 157.75108337402344, 943.1264038085938, 274.4307861328125]",236,0.45,0.57
"[1012.6844482421875, 663.5565795898438, 1122.092529296875, 941.9688720703125]","[878.9779052734375, 159.5352325439453, 951.0302124023438, 274.0413513183594]",237,0.39,0.63
"[1009.00439453125, 655.2882080078125, 1114.49951171875, 938.1802368164062]","[880.3853759765625, 161.2090606689453, 957.8817749023438, 274.4290771484375]",238,0.37,0.68
"[1008.51611328125, 665.802001953125, 1108.5364990234375, 935.7323608398438]","[881.2803344726562, 164.95474243164062, 962.2508544921875, 274.19158935546875]",239,0.37,0.74
"[1009.2442016601562, 680.4649047851562, 1104.269287109375, 935.5628051757812]","[882.14892578125, 168.86940002441406, 964.2393798828125, 273.9971923828125]",240,0.37,0.78
"[1007.4103393554688, 693.6524658203125, 1104.092041015625, 935.436767578125]","[882.551513671875, 172.59840393066406, 965.2044067382812, 274.0018615722656]",241,0.4,0.82
"[1007.3551635742188, 701.2130126953125, 1104.0045166015625, 935.191650390625]","[881.7328491210938, 175.56288146972656, 965.4459228515625, 273.92535400390625]",242,0.41,0.85
"[1007.4967651367188, 704.4553833007812, 1103.99658203125, 934.7437744140625]","[881.4979858398438, 177.48524475097656, 965.3572387695312, 273.9132385253906]",243,0.42,0.87
"[1001.9080200195312, 704.064697265625, 1104.4737548828125, 933.1510620117188]","[881.6848754882812, 178.06784057617188, 965.3009033203125, 273.85791015625]",244,0.45,0.87
"[998.8499755859375, 700.9767456054688, 1104.2506103515625, 931.5073852539062]","[880.82958984375, 176.2660675048828, 965.1812133789062, 274.0340270996094]",245,0.46,0.86
"[1000.21630859375, 698.708740234375, 1106.504150390625, 930.40625]","[877.8801879882812, 173.22669982910156, 964.7362670898438, 274.4466247558594]",246,0.46,0.86
"[997.7861938476562, 696.6680297851562, 1110.2974853515625, 929.7745361328125]","[873.1463623046875, 170.17454528808594, 961.0840454101562, 274.425048828125]",247,0.48,0.84
"[988.0938110351562, 696.6364135742188, 1113.8466796875, 930.2295532226562]","[866.0137939453125, 167.9876251220703, 952.9019165039062, 274.62457275390625]",248,0.54,0.81
"[985.14404296875, 697.046142578125, 1117.8687744140625, 933.7477416992188]","[859.273193359375, 166.29457092285156, 940.2273559570312, 274.5472412109375]",249,0.56,0.75
"[982.5978393554688, 697.9150390625, 1120.115234375, 939.2791748046875]","[854.668701171875, 164.7084503173828, 926.2384643554688, 275.1355285644531]",250,0.57,0.65
"[983.006591796875, 701.1074829101562, 1121.7236328125, 946.1502685546875]","[850.1806030273438, 164.38963317871094, 912.8194580078125, 275.32904052734375]",251,0.57,0.56
"[984.7332763671875, 702.5780029296875, 1122.69775390625, 951.7406616210938]","[846.4784545898438, 166.1884765625, 904.91552734375, 277.5304260253906]",252,0.55,0.52
"[984.4595336914062, 702.114501953125, 1122.332763671875, 955.7110595703125]","[841.72314453125, 166.73529052734375, 899.9332275390625, 278.35284423828125]",253,0.54,0.52
"[984.318603515625, 700.2371215820312, 1121.5982666015625, 955.6537475585938]","[834.6990356445312, 168.76223754882812, 896.3592529296875, 278.8106689453125]",254,0.54,0.56
"[984.3363037109375, 698.1243896484375, 1119.1082763671875, 954.8405151367188]","[827.9744873046875, 170.17446899414062, 893.86865234375, 278.88543701171875]",255,0.52,0.61
"[984.8545532226562, 697.47412109375, 1118.161865234375, 954.7275390625]","[821.2200927734375, 171.69053649902344, 892.738525390625, 278.8992004394531]",256,0.52,0.67
"[979.4611206054688, 697.0851440429688, 1119.6331787109375, 955.7411499023438]","[816.5316162109375, 172.8355255126953, 892.5717163085938, 278.78070068359375]",257,0.54,0.72
"[971.533935546875, 697.6382446289062, 1122.098388671875, 959.3277587890625]","[813.8255004882812, 173.6202392578125, 892.3010864257812, 278.8790283203125]",258,0.58,0.75
"[967.9259643554688, 700.365966796875, 1123.609130859375, 965.4229125976562]","[813.0640869140625, 174.48899841308594, 891.2034912109375, 278.5451965332031]",259,0.59,0.75
"[966.4654541015625, 703.3594360351562, 1125.2647705078125, 968.4632568359375]","[813.364013671875, 173.817626953125, 890.5809326171875, 278.3450012207031]",260,0.6,0.74
"[965.7572631835938, 704.5787353515625, 1126.1270751953125, 970.04052734375]","[813.6279907226562, 173.09263610839844, 887.4796142578125, 278.2093200683594]",261,0.6,0.7
"[965.5200805664062, 703.8237915039062, 1126.2989501953125, 970.082763671875]","[808.7285766601562, 171.4639129638672, 883.3757934570312, 278.76239013671875]",262,0.6,0.7
"[965.7163696289062, 701.8706665039062, 1126.5482177734375, 969.0972900390625]","[803.1956176757812, 170.03945922851562, 877.1507568359375, 279.2509765625]",263,0.6,0.68
"[968.4168701171875, 700.9274291992188, 1128.946533203125, 966.9327392578125]","[805.9602661132812, 169.9772491455078, 869.4819946289062, 278.94598388671875]",264,0.6,0.58
"[971.2172241210938, 700.86767578125, 1134.26318359375, 967.271240234375]","[805.6807861328125, 170.42799377441406, 865.1875, 279.1319274902344]",265,0.61,0.55
"[973.7572021484375, 703.0057983398438, 1142.2283935546875, 970.3829345703125]","[796.3793334960938, 171.06851196289062, 863.4042358398438, 279.9957580566406]",266,0.63,0.62
"[976.6865844726562, 707.42919921875, 1148.8328857421875, 974.8543090820312]","[786.3849487304688, 171.55052185058594, 862.8382568359375, 280.191162109375]",267,0.64,0.7
"[977.778564453125, 714.435546875, 1153.213134765625, 978.677001953125]","[780.948486328125, 171.90460205078125, 863.0626220703125, 280.4503173828125]",268,0.66,0.76
"[977.2555541992188, 723.226806640625, 1159.3134765625, 984.1593627929688]","[777.3720703125, 174.233642578125, 862.8434448242188, 280.87896728515625]",269,0.7,0.8
"[976.2117919921875, 731.4207153320312, 1164.6328125, 986.3004760742188]","[775.1719970703125, 174.57933044433594, 862.3729248046875, 280.7872314453125]",270,0.74,0.82
"[976.641357421875, 738.4412231445312, 1167.0037841796875, 990.7884521484375]","[774.5133666992188, 174.84194946289062, 862.8699340820312, 280.5300598144531]",271,0.75,0.84
"[977.8642578125, 744.168701171875, 1168.966552734375, 992.523193359375]","[774.5368041992188, 173.99880981445312, 862.9407958984375, 279.9178161621094]",272,0.77,0.83
"[978.8265991210938, 746.8021240234375, 1169.85791015625, 992.7922973632812]","[774.5473022460938, 172.96835327148438, 859.724365234375, 279.4642639160156]",273,0.78,0.8
"[980.6080322265625, 747.3689575195312, 1171.533935546875, 993.4439697265625]","[774.5708618164062, 171.03982543945312, 856.7945556640625, 279.1162414550781]",274,0.78,0.76
"[982.778564453125, 745.5457763671875, 1172.3955078125, 992.746826171875]","[774.7657470703125, 170.33070373535156, 855.425537109375, 279.2040710449219]",275,0.77,0.74
"[983.1220703125, 742.4189453125, 1172.9342041015625, 992.5911865234375]","[775.8732299804688, 168.32322692871094, 855.2474975585938, 279.2520751953125]",276,0.76,0.72
"[982.9673461914062, 738.489990234375, 1172.8885498046875, 991.5658569335938]","[778.5597534179688, 167.5907440185547, 859.9395141601562, 278.97357177734375]",277,0.75,0.73
"[981.5359497070312, 735.2772827148438, 1170.2784423828125, 988.7418823242188]","[782.2579956054688, 167.29563903808594, 862.0795288085938, 278.3838195800781]",278,0.74,0.72
"[981.613037109375, 732.1203002929688, 1160.2567138671875, 986.6515502929688]","[789.6213989257812, 166.5720977783203, 865.2845458984375, 277.8692321777344]",279,0.7,0.68
"[981.9879150390625, 729.5729370117188, 1142.1544189453125, 986.1416015625]","[799.037353515625, 164.70330810546875, 869.1124267578125, 276.8078918457031]",280,0.62,0.63
"[980.4417114257812, 725.9575805664062, 1124.0965576171875, 983.4392700195312]","[809.86865234375, 163.3731231689453, 873.2156982421875, 276.3370361328125]",281,0.56,0.56
"[972.67236328125, 723.00537109375, 1119.2672119140625, 980.449462890625]","[820.880126953125, 161.44552612304688, 878.8294677734375, 276.5920715332031]",282,0.57,0.5
"[962.68798828125, 721.7777709960938, 1110.142333984375, 975.66845703125]","[827.9828491210938, 159.28427124023438, 880.7391967773438, 277.40728759765625]",283,0.58,0.45
"[952.2685546875, 721.4336547851562, 1105.947509765625, 969.1303100585938]","[833.755859375, 158.37939453125, 883.8792114257812, 278.0758972167969]",284,0.62,0.42
"[944.1866455078125, 722.2445678710938, 1097.1412353515625, 967.4260864257812]","[840.9429931640625, 157.60731506347656, 886.7993774414062, 278.63885498046875]",285,0.62,0.38
"[937.7852172851562, 723.831298828125, 1097.416748046875, 966.73974609375]","[850.8964233398438, 158.2564239501953, 890.5628662109375, 278.1464538574219]",286,0.66,0.33
"[933.6967163085938, 725.3411865234375, 1096.1630859375, 966.064697265625]","[855.891845703125, 160.30686950683594, 894.2190551757812, 278.3890075683594]",287,0.67,0.32
"[935.7535400390625, 726.4476318359375, 1109.0626220703125, 965.9761962890625]","[860.260986328125, 161.83094787597656, 902.877197265625, 278.6864013671875]",288,0.72,0.36
"[936.816162109375, 727.0774536132812, 1102.5240478515625, 965.4213256835938]","[865.64892578125, 163.3382110595703, 916.3743286132812, 278.99139404296875]",289,0.7,0.44
"[936.3547973632812, 724.896484375, 1093.4090576171875, 964.4613037109375]","[869.474365234375, 163.5036163330078, 925.5235595703125, 279.0865783691406]",290,0.66,0.48
"[935.409423828125, 722.9472045898438, 1076.552734375, 963.40576171875]","[872.5526123046875, 163.37738037109375, 931.2822875976562, 278.9673767089844]",291,0.59,0.51
"[934.3984985351562, 718.4003295898438, 1066.2379150390625, 963.2404174804688]","[873.4287719726562, 162.86178588867188, 933.8452758789062, 278.92755126953125]",292,0.54,0.52
"[934.0293579101562, 711.2191162109375, 1054.5595703125, 960.3471069335938]","[873.83984375, 160.86346435546875, 935.0641479492188, 278.6152038574219]",293,0.48,0.52
"[928.2285766601562, 703.7645263671875, 1051.704833984375, 956.2160034179688]","[876.161376953125, 159.1369171142578, 935.1104736328125, 278.3023376464844]",294,0.49,0.49
"[921.4833374023438, 697.3754272460938, 1054.7286376953125, 951.5297241210938]","[879.4827880859375, 158.40199279785156, 935.5822143554688, 276.30084228515625]",295,0.52,0.48
"[919.27392578125, 696.9617919921875, 1045.9771728515625, 948.9736328125]","[882.6055908203125, 157.30245971679688, 939.3980102539062, 275.401611328125]",296,0.5,0.48
"[914.4988403320312, 695.3370971679688, 1027.162841796875, 946.5419921875]","[884.9917602539062, 156.6573028564453, 945.5089111328125, 274.39630126953125]",297,0.45,0.51
"[912.3919067382812, 686.614501953125, 1013.2188110351562, 946.4331665039062]","[887.7144165039062, 157.7605438232422, 955.0366821289062, 274.2346496582031]",298,0.39,0.58
"[912.2903442382812, 689.8087158203125, 1002.1201782226562, 945.1604614257812]","[890.8298950195312, 159.2573699951172, 962.5364379882812, 274.7606506347656]",299,0.35,0.62
"[909.9276123046875, 691.8247680664062, 995.616455078125, 943.4114990234375]","[892.2523803710938, 161.70217895507812, 969.405029296875, 275.0950012207031]",300,0.34,0.68
"[903.8253784179688, 691.8116455078125, 996.0856323242188, 941.6798706054688]","[892.5558471679688, 166.74778747558594, 974.7681884765625, 275.0837707519531]",301,0.37,0.76
"[904.5648193359375, 690.9188842773438, 1001.7725219726562, 935.9183959960938]","[892.7808227539062, 170.9795684814453, 976.5970458984375, 274.96636962890625]",302,0.4,0.81
"[903.5230712890625, 689.36376953125, 1009.865966796875, 932.2368774414062]","[892.723876953125, 172.46826171875, 977.0791625976562, 274.6410217285156]",303,0.44,0.83
"[905.2421264648438, 687.2628784179688, 1014.9622802734375, 928.889892578125]","[892.7605590820312, 172.40298461914062, 977.2210693359375, 274.679931640625]",304,0.45,0.83
"[902.4639892578125, 685.7598266601562, 1019.0817260742188, 924.9406127929688]","[892.9425048828125, 171.12579345703125, 977.05322265625, 274.90966796875]",305,0.49,0.81
"[893.4406127929688, 684.9326782226562, 1023.6051635742188, 924.2413940429688]","[896.0853271484375, 170.15492248535156, 980.1626586914062, 274.72296142578125]",306,0.54,0.8
"[886.7929077148438, 684.44091796875, 1031.695556640625, 923.1697998046875]","[904.8680419921875, 168.42002868652344, 985.97265625, 274.4095764160156]",307,0.61,0.77
"[883.272216796875, 686.7704467773438, 1035.55029296875, 924.573486328125]","[917.0256958007812, 167.14694213867188, 993.1834106445312, 274.5139465332031]",308,0.64,0.71
"[879.7864379882812, 689.7644653320312, 1037.3603515625, 927.7758178710938]","[933.690673828125, 167.13880920410156, 1002.072265625, 274.1285095214844]",309,0.66,0.64
"[878.2182006835938, 693.1543579101562, 1037.9957275390625, 932.3485107421875]","[949.7872314453125, 164.5891571044922, 1008.7186889648438, 273.5252990722656]",310,0.67,0.54
"[877.8605346679688, 695.990478515625, 1038.1234130859375, 937.3148803710938]","[956.33447265625, 162.93157958984375, 1016.4042358398438, 273.351318359375]",311,0.66,0.54
"[877.2923583984375, 696.6485595703125, 1038.0169677734375, 941.9133911132812]","[961.3031005859375, 161.32102966308594, 1024.12451171875, 273.725341796875]",312,0.66,0.56
"[877.6557006835938, 694.9302978515625, 1037.2841796875, 943.2642211914062]","[966.4061279296875, 159.69688415527344, 1034.588134765625, 273.38726806640625]",313,0.64,0.6
"[878.201904296875, 691.7152709960938, 1033.689208984375, 944.0654907226562]","[972.5166625976562, 159.14442443847656, 1048.7728271484375, 270.81927490234375]",314,0.62,0.68
"[878.5921630859375, 687.715576171875, 1026.7100830078125, 944.7437133789062]","[983.1215209960938, 158.9898223876953, 1056.6461181640625, 270.4910888671875]",315,0.58,0.66
"[878.6073608398438, 684.424560546875, 1016.091796875, 943.6941528320312]","[994.6907348632812, 161.18321228027344, 1065.2886962890625, 273.0398864746094]",316,0.53,0.63
"[880.1849365234375, 681.5692749023438, 1003.4714965820312, 942.0031127929688]","[1010.7916259765625, 163.33917236328125, 1075.1502685546875, 276.2756042480469]",317,0.47,0.57
"[880.3558959960938, 680.4298095703125, 992.1849975585938, 940.8068237304688]","[1025.574462890625, 165.89859008789062, 1083.42822265625, 277.3831481933594]",318,0.43,0.52
"[872.6456909179688, 681.2211303710938, 983.0203857421875, 941.3150024414062]","[1037.7603759765625, 168.05931091308594, 1089.928466796875, 277.4228820800781]",319,0.42,0.48
"[857.7478637695312, 683.648681640625, 977.5240478515625, 943.0618286132812]","[1046.1549072265625, 168.92015075683594, 1097.5098876953125, 277.9985046386719]",320,0.46,0.47
"[838.5439453125, 688.26318359375, 976.501953125, 945.7799072265625]","[1049.615234375, 170.3380126953125, 1111.4312744140625, 278.0099182128906]",321,0.54,0.57
"[823.4930419921875, 693.1224975585938, 975.9005126953125, 948.8458251953125]","[1052.6900634765625, 168.96969604492188, 1125.2347412109375, 277.768310546875]",322,0.6,0.67
"[816.4960327148438, 697.0167846679688, 976.0618896484375, 951.26708984375]","[1054.6385498046875, 168.2578125, 1136.173828125, 277.0011291503906]",323,0.63,0.75
"[813.8447875976562, 699.93310546875, 975.7702026367188, 953.4423828125]","[1056.0418701171875, 168.18679809570312, 1143.5452880859375, 277.2540588378906]",324,0.64,0.8
"[812.6569213867188, 699.8003540039062, 975.7076416015625, 953.8546142578125]","[1059.50634765625, 168.2079620361328, 1147.1727294921875, 276.9457092285156]",325,0.64,0.81
"[812.4540405273438, 698.1506958007812, 975.0586547851562, 953.8711547851562]","[1065.250732421875, 168.18251037597656, 1148.4176025390625, 275.9607849121094]",326,0.64,0.77
"[812.8798828125, 696.016357421875, 972.8257446289062, 952.7843017578125]","[1075.0396728515625, 167.8192138671875, 1149.948486328125, 275.5417785644531]",327,0.62,0.7
"[813.9903564453125, 693.8705444335938, 966.9641723632812, 951.4273071289062]","[1087.35595703125, 167.73947143554688, 1152.9049072265625, 274.634521484375]",328,0.59,0.61
"[811.8809204101562, 692.3566284179688, 957.609130859375, 950.146728515625]","[1102.4793701171875, 168.14797973632812, 1158.7808837890625, 274.10235595703125]",329,0.57,0.53
