ball_position,frame
"{1: (137, 677)}",357
"{1: (134, 692)}",358
"{1: (131, 708)}",359
"{1: (128, 723)}",360
"{1: (125, 737)}",361
"{1: (122, 752)}",362
"{1: (120, 767, 0.61, 25.93)}",363
"{1: (126, 741, 0.8, 25.77)}",364
"{1: (131, 717, 0.96, 25.15)}",365
"{1: (137, 693, 1.12, 24.56)}",366
"{1: (143, 669, 1.25, 24.0)}",367
"{1: (149, 646, 1.37, 23.46)}",368
"{1: (154, 623, 1.48, 22.95)}",369
"{1: (159, 601, 1.57, 22.46)}",370
"{1: (165, 580, 1.64, 21.99)}",371
"{1: (170, 558, 1.7, 21.55)}",372
"{1: (175, 537, 1.74, 21.13)}",373
"{1: (180, 517, 1.76, 20.72)}",374
"{1: (185, 497, 1.77, 20.34)}",375
"{1: (189, 477, 1.77, 19.98)}",376
"{1: (194, 457, 1.74, 19.65)}",377
"{1: (199, 438, 1.71, 19.33)}",378
"{1: (203, 419, 1.65, 19.03)}",379
"{1: (208, 401, 1.59, 18.75)}",380
"{1: (212, 382, 1.5, 18.49)}",381
"{1: (216, 364, 1.4, 18.24)}",382
"{1: (221, 347, 1.29, 18.02)}",383
"{1: (225, 329, 1.16, 17.82)}",384
"{1: (229, 312, 1.01, 17.63)}",385
"{1: (233, 295, 0.85, 17.46)}",386
"{1: (237, 279, 0.67, 17.31)}",387
"{1: (241, 262, 0.48, 17.17)}",388
"{1: (245, 246, 0.28, 17.05)}",389
"{1: (249, 230, 0.05, 16.95)}",390
"{1: (253, 215)}",391
"{1: (251, 210)}",392
"{1: (250, 205)}",393
"{1: (248, 200)}",394
"{1: (247, 195)}",395
"{1: (245, 191)}",396
"{1: (244, 186)}",397
"{1: (242, 181)}",398
"{1: (241, 176)}",399
"{1: (240, 172)}",400
"{1: (238, 167)}",401
"{1: (237, 163)}",402
"{1: (235, 158)}",403
"{1: (234, 153)}",404
"{1: (233, 149)}",405
"{1: (231, 144)}",406
"{1: (230, 140)}",407
"{1: (229, 135)}",408
"{1: (227, 131)}",409
"{1: (226, 126)}",410
"{1: (225, 122)}",411
"{1: (223, 117)}",412
"{1: (222, 113)}",413
"{1: (221, 109, 0.02, 33.05)}",414
"{1: (216, 142, 0.15, 32.27)}",415
"{1: (212, 174, 0.26, 31.35)}",416
"{1: (208, 205, 0.35, 30.48)}",417
"{1: (204, 235, 0.43, 29.66)}",418
"{1: (200, 265, 0.49, 28.89)}",419
"{1: (196, 294, 0.54, 28.15)}",420
"{1: (193, 322, 0.57, 27.46)}",421
"{1: (189, 349, 0.58, 26.8)}",422
"{1: (186, 376, 0.58, 26.18)}",423
"{1: (182, 403, 0.57, 25.59)}",424
"{1: (179, 428, 0.53, 25.04)}",425
"{1: (176, 453, 0.49, 24.51)}",426
"{1: (173, 478, 0.42, 24.02)}",427
"{1: (169, 502, 0.34, 23.55)}",428
"{1: (166, 526, 0.25, 23.11)}",429
"{1: (163, 549, 0.14, 22.7)}",430
"{1: (160, 571, 0.01, 22.32)}",431
"{1: (158, 594)}",432
"{1: (157, 609)}",433
"{1: (156, 624)}",434
"{1: (156, 638)}",435
"{1: (155, 653)}",436
"{1: (154, 667)}",437
"{1: (154, 682)}",438
"{1: (153, 696)}",439
"{1: (153, 710)}",440
"{1: (152, 723)}",441
"{1: (152, 737)}",442
"{1: (151, 750)}",443
"{1: (151, 764, 0.69, 26.12)}",444
"{1: (149, 738, 0.89, 26.0)}",445
"{1: (148, 712, 1.07, 25.37)}",446
"{1: (146, 687, 1.23, 24.77)}",447
"{1: (145, 663, 1.38, 24.2)}",448
"{1: (143, 639, 1.51, 23.65)}",449
"{1: (142, 616, 1.63, 23.13)}",450
"{1: (141, 593, 1.73, 22.63)}",451
"{1: (140, 571, 1.81, 22.15)}",452
"{1: (138, 549, 1.88, 21.7)}",453
"{1: (137, 527, 1.93, 21.27)}",454
"{1: (136, 506, 1.97, 20.86)}",455
"{1: (135, 485, 1.99, 20.47)}",456
"{1: (134, 464, 2.0, 20.1)}",457
"{1: (132, 444, 1.99, 19.75)}",458
"{1: (131, 425, 1.96, 19.42)}",459
"{1: (130, 405, 1.92, 19.11)}",460
"{1: (129, 386, 1.86, 18.82)}",461
"{1: (128, 367, 1.79, 18.55)}",462
"{1: (127, 349, 1.7, 18.3)}",463
"{1: (126, 331, 1.59, 18.07)}",464
"{1: (125, 313, 1.47, 17.85)}",465
"{1: (124, 295, 1.34, 17.66)}",466
"{1: (123, 278, 1.19, 17.48)}",467
"{1: (122, 260, 1.02, 17.32)}",468
"{1: (121, 243, 0.84, 17.18)}",469
"{1: (120, 227, 0.65, 17.05)}",470
"{1: (119, 210, 0.44, 16.94)}",471
"{1: (118, 194, 0.21, 16.84)}",472
"{1: (117, 178, -0.03, 16.76)}",473
"{1: (117, 163)}",474
"{1: (115, 155)}",475
"{1: (113, 148)}",476
"{1: (112, 141)}",477
"{1: (110, 134)}",478
"{1: (108, 126)}",479
"{1: (107, 119)}",480
"{1: (105, 112)}",481
"{1: (104, 105)}",482
"{1: (102, 98)}",483
"{1: (101, 92, 0.73, 33.13)}",484
"{1: (101, 125, 0.82, 32.27)}",485
"{1: (101, 157, 0.9, 31.36)}",486
"{1: (101, 189, 0.96, 30.5)}",487
"{1: (101, 220, 1.01, 29.68)}",488
"{1: (101, 250, 1.04, 28.91)}",489
"{1: (102, 279, 1.06, 28.19)}",490
"{1: (102, 308, 1.06, 27.5)}",491
"{1: (102, 335, 1.04, 26.85)}",492
"{1: (102, 363, 1.01, 26.24)}",493
"{1: (102, 389, 0.96, 25.66)}",494
"{1: (102, 415, 0.9, 25.12)}",495
"{1: (103, 441, 0.82, 24.6)}",496
"{1: (103, 465, 0.72, 24.12)}",497
"{1: (103, 490, 0.62, 23.67)}",498
"{1: (103, 514, 0.49, 23.24)}",499
"{1: (103, 537, 0.35, 22.84)}",500
"{1: (103, 560, 0.19, 22.47)}",501
"{1: (103, 582, 0.02, 22.12)}",502
"{1: (104, 605)}",503
"{1: (104, 621)}",504
"{1: (105, 637)}",505
"{1: (106, 653)}",506
"{1: (107, 668)}",507
"{1: (108, 684)}",508
"{1: (109, 699)}",509
"{1: (110, 714)}",510
"{1: (111, 729)}",511
"{1: (112, 744)}",512
"{1: (113, 758)}",513
"{1: (114, 772)}",514
"{1: (115, 787)}",515
"{1: (116, 801, 0.69, 31.01)}",516
"{1: (117, 769, 0.85, 30.45)}",517
"{1: (118, 739, 1.0, 29.62)}",518
"{1: (120, 710, 1.13, 28.84)}",519
"{1: (121, 681, 1.24, 28.09)}",520
"{1: (123, 653, 1.34, 27.38)}",521
