single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
,,"(901, 300)",24,24,-1.0,154
"(913, 315)","(913, 315)","(913, 315)",19,19,-5.0,155
"(929, 339)","(929, 339)","(929, 339)",28,28,9.0,156
"(941, 358)","(941, 358)","(941, 358)",22,22,-6.0,157
,,"(961, 395)",42,42,20.0,158
,,"(980, 430)",39,39,-3.0,159
,,"(999, 463)",38,38,-1.0,160
,,"(1015, 493)",34,34,-4.0,161
"(1028, 516)","(1028, 516)","(1028, 516)",26,26,-8.0,162
"(1049, 561)","(1049, 561)","(1049, 561)",49,49,23.0,163
"(1068, 603)","(1068, 603)","(1068, 603)",46,46,-3.0,164
"(1091, 644)","(1091, 644)","(1091, 644)",47,47,1.0,165
"(1107, 645)","(1107, 645)","(1107, 645)",16,16,-31.0,166
"(1123, 650)","(1123, 650)","(1123, 650)",16,16,0.0,167
"(1141, 656)","(1141, 656)","(1141, 656)",18,18,2.0,168
"(1161, 666)","(1161, 666)","(1161, 666)",22,22,4.0,169
"(1179, 679)","(1179, 679)","(1179, 679)",22,22,0.0,170
"(1201, 691)","(1201, 691)","(1201, 691)",25,25,3.0,171
"(1219, 708)","(1219, 708)","(1219, 708)",24,24,-1.0,172
"(1241, 730)","(1241, 730)","(1241, 730)",31,31,7.0,173
"(1263, 752)","(1263, 752)","(1263, 752)",31,31,0.0,174
,,"(1223, 685)",-78,78,-109.0,175
,,"(1188, 625)",-69,69,9.0,176
"(1161, 579)","(1161, 579)","(1161, 579)",-53,53,16.0,177
"(1116, 512)","(1116, 512)","(1116, 512)",-80,80,-27.0,178
,,"(1085, 473)",-49,49,31.0,179
,,"(1056, 438)",-45,45,4.0,180
,,"(1030, 405)",-42,42,3.0,181
"(1011, 381)","(1011, 381)","(1011, 381)",-30,30,12.0,182
"(986, 358)","(986, 358)","(986, 358)",-33,33,-3.0,183
"(967, 343)","(967, 343)","(967, 343)",-24,24,9.0,184
"(950, 330)","(950, 330)","(950, 330)",-21,21,3.0,185
"(931, 319)","(931, 319)","(931, 319)",-21,21,0.0,186
"(915, 311)","(915, 311)","(915, 311)",-17,17,4.0,187
"(901, 307)","(901, 307)","(901, 307)",-14,14,3.0,188
,,"(886, 306)",-15,15,-1.0,189
,,"(873, 306)",13,13,28.0,190
,,"(860, 306)",13,13,0.0,191
,,"(849, 306)",11,11,-2.0,192
"(841, 306)","(841, 306)","(841, 306)",8,8,-3.0,193
"(828, 312)","(828, 312)","(828, 312)",14,14,6.0,194
"(819, 317)","(819, 317)","(819, 317)",10,10,-4.0,195
"(813, 314)","(813, 314)","(813, 314)",-6,6,-16.0,196
,,"(805, 294)",-21,21,-15.0,197
,,"(799, 276)",-18,18,3.0,198
"(794, 263)","(794, 263)","(794, 263)",-13,13,5.0,199
"(786, 250)","(786, 250)","(786, 250)",-15,15,-2.0,200
"(781, 237)","(781, 237)","(781, 237)",-13,13,2.0,201
,,"(776, 226)",-12,12,1.0,202
"(773, 219)","(773, 219)","(773, 219)",-7,7,5.0,203
"(772, 215)","(772, 215)","(772, 215)",-4,4,3.0,204
"(781, 220)","(781, 220)","(781, 220)",10,10,14.0,205
,,"(796, 234)",20,20,10.0,206
,,"(810, 248)",19,19,-1.0,207
,,"(825, 262)",20,20,1.0,208
,,"(838, 274)",17,17,-3.0,209
,,"(850, 286)",16,16,-1.0,210
,,"(862, 297)",16,16,0.0,211
"(871, 306)","(871, 306)","(871, 306)",12,12,-4.0,212
"(887, 326)","(887, 326)","(887, 326)",25,25,13.0,213
"(900, 344)","(900, 344)","(900, 344)",22,22,-3.0,214
